AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
126,78,Mahesh Naik,27,M,A1
127,79,Praveen Kumar,33,M,A1
128,80,Prakash Sharma,30,M,A1
129,80,Anitha Swamy,36,F,A2
130,81,Kumar Nair,29,M,A1
131,81,Mahesh Rao,18,M,A2
132,82,Ramesh Bhat,39,M,A1
133,83,Mahesh Hegde,37,M,A1
134,83,Rajesh Patil,35,M,A2
135,83,Girish Kumar,38,M,A3
136,84,Suresh Rao,34,M,A1
137,84,Naresh Sharma,28,M,A2
138,85,Ravi Sharma,19,M,A1
139,86,Venkatesh Swamy,28,M,A1
140,86,Naresh Reddy,21,M,A2
141,87,Naresh Pillai,24,M,A1
142,87,Ravi Naik,34,M,A2
143,87,Kumar Raju,40,M,A3
144,87,Shivaraj Gowda,39,M,A4
145,88,Ravi Rao,24,M,A1
146,88,Harish Shetty,26,M,A2
147,89,Manjunath Raju,18,M,A1
148,89,Shivaraj Rao,41,M,A2
149,89,Harish Patil,40,M,A3
150,89,Basavaraj Gowda,18,M,A4
151,90,Ramesh Rao,26,M,A1
152,90,Praveen Shetty,39,M,A2
153,90,Dinesh Reddy,31,M,A3
154,91,Naresh Bhat,32,M,A1
155,92,Ravi Swamy,29,M,A1
156,93,Kumar Gowda,18,M,A1
157,93,Naresh Naik,31,M,A2
158,93,Suresh Bhat,32,M,A3
159,94,Rajesh Naik,23,M,A1
160,95,Suresh Shetty,33,M,A1
161,96,Dinesh Bhat,24,M,A1
162,97,Ramesh Patil,38,M,A1
163,97,Manjunath Swamy,27,M,A2
164,98,Basavaraj Rao,32,M,A1
165,99,Naveen Raju,30,M,A1
166,100,Venkatesh Pillai,33,M,A1
167,100,Manjunath Shetty,28,M,A2
168,101,Ramesh Pillai,33,M,A1
169,102,Mahesh Murthy,33,M,A1
170,103,Dinesh Swamy,28,M,A1
171,103,Rekha Bhat,18,F,A2
172,104,Mahesh Gowda,33,M,A1
173,104,Harish Shetty,24,M,A2
174,104,Basavaraj Pillai,26,M,A3
175,105,Shivaraj Rao,25,M,A1
176,105,Santosh Reddy,24,M,A2
177,105,Ramesh Bhat,39,M,A3
178,106,Ramesh Rao,18,M,A1
179,106,Pushpa Raju,35,F,A2
180,107,Harish Murthy,18,M,A1
181,108,Praveen Raju,23,M,A1
182,109,Mamatha Pillai,23,F,A1
183,110,Prakash Sharma,26,M,A1
184,111,Suresh Sharma,21,M,A1
185,111,Srinivas Sharma,38,M,A2
186,112,Anitha Bhat,20,F,A1
187,112,Kumar Bhat,33,M,A2
188,113,Naresh Pillai,28,M,A1
189,114,Praveen Murthy,48,M,A1
190,114,Kumar Murthy,21,M,A2
191,114,Prakash Sharma,31,M,A3
192,115,Praveen Naik,32,M,A1
193,116,Santosh Nair,25,M,A1
194,117,Praveen Patil,19,M,A1
195,118,Ravi Bhat,27,M,A1
196,119,Ramesh Sharma,32,M,A1
197,120,Praveen Rao,22,M,A1
198,121,Manjunath Kumar,26,M,A1
199,122,Lakshmi Raju,26,F,A1
200,122,Savitha Gowda,21,F,A2
201,123,Santosh Hegde,38,M,A1
202,124,Praveen Murthy,29,M,A1
203,125,Shobha Nair,26,F,A1
204,126,Basavaraj Bhat,34,M,A1
205,127,Ravi Murthy,29,M,A1
206,128,Ramesh Shetty,37,M,A1
207,129,Kumar Hegde,20,M,A1
208,130,Asha Reddy,26,F,A1
209,130,Asha Reddy,26,F,A2
210,131,Mahesh Gowda,32,M,A1
211,132,Basavaraj Naik,27,M,A1
212,132,Girish Murthy,38,M,A2
213,133,Naveen Pillai,35,M,A1
214,133,Prakash Gowda,30,M,A2
215,134,Rajesh Reddy,30,M,A1
216,135,Santosh Bhat,27,M,A1
217,135,Basavaraj Pillai,37,M,A2
218,136,Suresh Naik,23,M,A1
219,136,Girish Shetty,27,M,A2
220,136,Ravi Shetty,24,M,A3
221,137,Ramesh Rao,33,M,A1
222,137,Srinivas Kumar,22,M,A2
223,137,Venkatesh Rao,19,M,A3
224,138,Suresh Pillai,35,M,A1
225,139,Shivaraj Pillai,18,M,A1
226,139,Venkatesh Rao,35,M,A2
227,140,Dinesh Naik,25,M,A1
228,141,Anitha Gowda,18,F,A1
229,142,Basavaraj Swamy,38,M,A1
230,143,Santosh Murthy,20,M,A1
231,143,Manjunath Naik,18,M,A2
232,144,Vinitha Raju,36,F,A1
233,145,Shivaraj Rao,51,M,A1
234,145,Rajesh Raju,41,M,A2
235,146,Rajesh Sharma,25,M,A1
236,146,Rajesh Reddy,40,M,A2
237,146,Mahesh Sharma,37,M,A3
238,146,Shivaraj Gowda,21,M,A4
239,147,Suma Raju,33,F,A1
240,148,Dinesh Gowda,20,M,A1
241,148,Praveen Reddy,29,M,A2
242,148,Shivaraj Kumar,32,M,A3
243,148,Rajesh Sharma,20,M,A4
244,149,Ramesh Bhat,36,M,A1
245,149,Basavaraj Patil,35,M,A2
246,150,Manjunath Bhat,29,M,A1
247,151,Mamatha Murthy,23,F,A1
248,152,Srinivas Naik,28,M,A1
249,152,Pushpa Nair,35,F,A2
250,152,Pushpa Reddy,37,F,A3
251,152,Mahesh Bhat,29,M,A4
252,153,Srinivas Kumar,26,M,A1
253,154,Kavitha Patil,24,F,A1
254,155,Mahesh Raju,18,M,A1
255,156,Ramesh Murthy,35,M,A1
256,156,Naresh Hegde,22,M,A2
257,157,Suresh Pillai,39,M,A1
258,158,Santosh Swamy,28,M,A1
259,158,Prakash Reddy,19,M,A2
260,158,Ganesh Gowda,31,M,A3
261,158,Girish Naik,23,M,A4
262,159,Lakshmi Shetty,27,F,A1
263,160,Manjunath Swamy,25,M,A1
264,161,Santosh Pillai,31,M,A1
265,162,Harish Gowda,25,M,A1
266,163,Shivaraj Shetty,27,M,A1
267,164,Prakash Hegde,18,M,A1
268,164,Naveen Shetty,20,M,A2
269,164,Ganesh Kumar,38,M,A3
270,165,Ramesh Patil,30,M,A1
271,165,Girish Hegde,26,M,A2
272,166,Ravi Naik,32,M,A1
273,167,Venkatesh Pillai,30,M,A1
274,168,Naveen Kumar,39,M,A1
275,168,Kumar Kumar,18,M,A2
276,169,Harish Raju,27,M,A1
277,170,Praveen Gowda,34,M,A1
278,171,Usha Hegde,33,F,A1
279,171,Ramesh Murthy,29,M,A2
280,172,Santosh Raju,28,M,A1
281,172,Vinitha Bhat,25,F,A2
282,173,Suresh Swamy,24,M,A1
283,173,Mahesh Gowda,22,M,A2
284,174,Prakash Hegde,24,M,A1
285,175,Ramesh Swamy,20,M,A1
286,176,Ganesh Rao,25,M,A1
287,177,Vinitha Patil,21,F,A1
288,177,Ravi Naik,36,M,A2
289,178,Shobha Nair,21,F,A1
290,179,Manjunath Kumar,30,M,A1
291,179,Venkatesh Sharma,40,M,A2
292,180,Ganesh Naik,35,M,A1
293,180,Ganesh Nair,37,M,A2
294,180,Usha Hegde,27,T,A3
295,181,Santosh Patil,18,M,A1
296,181,Naveen Reddy,18,M,A2
297,181,Girish Shetty,34,M,A3
298,182,Dinesh Pillai,27,M,A1
299,183,Praveen Rao,24,M,A1
300,184,Basavaraj Gowda,33,M,A1
301,184,Harish Raju,49,M,A2
302,185,Venkatesh Patil,34,M,A1
303,186,Girish Kumar,28,M,A1
304,187,Naveen Nair,36,M,A1
305,188,Venkatesh Bhat,26,M,A1
306,188,Rajesh Murthy,35,M,A2
307,189,Praveen Naik,28,M,A1
308,190,Basavaraj Kumar,35,M,A1
309,191,Mahesh Murthy,32,M,A1
310,191,Ganesh Nair,22,M,A2
311,191,Suresh Bhat,20,M,A3
312,191,Ravi Gowda,18,M,A4
313,192,Venkatesh Swamy,18,M,A1
314,193,Ravi Swamy,31,M,A1
315,193,Srinivas Nair,38,M,A2
316,194,Kumar Naik,32,M,A1
317,195,Usha Rao,19,F,A1
318,196,Kumar Patil,39,M,A1
319,196,Rekha Bhat,41,F,A2
320,197,Lakshmi Naik,30,F,A1
321,198,Girish Murthy,32,M,A1
322,199,Santosh Swamy,18,M,A1
323,199,Girish Swamy,18,M,A2
324,199,Ganesh Murthy,29,M,A3
325,200,Praveen Sharma,22,M,A1
326,200,Shobha Hegde,18,F,A2
327,201,Suma Hegde,18,F,A1
328,202,Girish Nair,18,M,A1
329,202,Kavitha Gowda,27,F,A2
330,203,Manjunath Patil,18,M,A1
331,204,Mamatha Hegde,21,F,A1
332,205,Srinivas Reddy,30,M,A1
333,205,Geetha Reddy,21,F,A2
334,206,Santosh Patil,21,M,A1
335,207,Srinivas Sharma,28,M,A1
336,207,Usha Kumar,25,F,A2
337,207,Santosh Naik,36,M,A3
338,208,Rajesh Nair,22,M,A1
339,209,Vinitha Raju,18,F,A1
340,210,Srinivas Pillai,25,M,A1
341,211,Basavaraj Raju,21,M,A1
342,211,Naresh Nair,45,M,A2
343,212,Usha Kumar,40,F,A1
344,213,Manjunath Gowda,41,M,A1
345,213,Harish Shetty,32,M,A2
346,214,Suresh Rao,31,M,A1
347,215,Praveen Murthy,29,M,A1
348,215,Shivaraj Hegde,19,M,A2
349,216,Suma Kumar,31,F,A1
350,217,Naresh Naik,18,M,A1
351,217,Venkatesh Murthy,26,M,A2
352,218,Vinitha Reddy,31,F,A1
353,219,Girish Swamy,31,M,A1
354,219,Savitha Patil,23,F,A2
355,220,Mahesh Patil,31,M,A1
356,220,Pushpa Kumar,23,F,A2
357,220,Praveen Naik,18,M,A3
358,221,Shobha Shetty,34,F,A1
359,222,Prakash Swamy,33,M,A1
360,222,Kumar Bhat,23,M,A2
361,222,Shobha Kumar,21,F,A3
362,223,Anitha Sharma,27,T,A1
363,224,Ganesh Swamy,47,M,A1
364,225,Savitha Bhat,33,F,A1
365,226,Srinivas Gowda,39,M,A1
366,227,Kavitha Shetty,23,F,A1
367,228,Manjunath Sharma,30,M,A1
368,229,Ramesh Swamy,32,M,A1
369,229,Dinesh Kumar,25,M,A2
370,230,Ramesh Naik,26,M,A1
371,230,Naveen Raju,20,M,A2
372,231,Meena Pillai,18,F,A1
373,232,Harish Naik,21,M,A1
374,232,Mahesh Swamy,26,M,A2
375,233,Kumar Naik,18,M,A1
376,233,Ramesh Nair,18,M,A2
377,234,Vinitha Naik,24,F,A1
378,235,Dinesh Rao,31,M,A1
379,236,Dinesh Reddy,18,M,A1
380,237,Praveen Nair,25,M,A1
381,238,Naresh Bhat,18,M,A1
382,239,Naveen Swamy,45,M,A1
383,240,Santosh Rao,18,M,A1
384,240,Manjunath Nair,27,M,A2
385,240,Kavitha Bhat,18,F,A3
386,241,Ganesh Kumar,30,M,A1
387,242,Shobha Reddy,18,F,A1
388,243,Santosh Nair,39,M,A1
389,243,Shivaraj Sharma,47,M,A2
390,243,Mahesh Gowda,37,M,A3
391,244,Kumar Bhat,28,M,A1
392,244,Ravi Hegde,38,M,A2
393,244,Kumar Nair,28,M,A3
394,244,Shivaraj Nair,24,M,A4
395,245,Praveen Reddy,19,M,A1
396,246,Girish Gowda,35,M,A1
397,247,Prakash Nair,18,M,A1
398,247,Ravi Naik,22,M,A2
399,247,Dinesh Raju,32,M,A3
400,247,Kumar Shetty,30,M,A4
401,248,Santosh Swamy,23,M,A1
402,249,Pushpa Sharma,26,T,A1
403,250,Ganesh Swamy,30,M,A1
404,250,Harish Gowda,35,M,A2
405,250,Pushpa Naik,42,F,A3
406,250,Girish Pillai,18,M,A4
407,251,Ramesh Gowda,43,M,A1
408,252,Manjunath Gowda,38,M,A1
409,252,Kumar Reddy,34,M,A2
410,252,Anitha Gowda,33,F,A3
411,253,Harish Hegde,25,M,A1
412,254,Ravi Rao,24,M,A1
413,255,Dinesh Raju,36,M,A1
414,256,Vinitha Murthy,25,T,A1
415,256,Praveen Gowda,18,M,A2
416,257,Usha Murthy,26,F,A1
417,258,Kumar Kumar,28,M,A1
418,259,Naveen Naik,23,M,A1
419,260,Prakash Sharma,36,M,A1
420,261,Suma Rao,18,F,A1
421,261,Praveen Naik,35,M,A2
422,262,Shivaraj Naik,47,M,A1
423,263,Srinivas Naik,27,M,A1
424,264,Harish Sharma,18,M,A1
425,264,Kumar Swamy,28,M,A2
426,265,Mahesh Raju,31,M,A1
427,265,Geetha Pillai,28,F,A2
428,266,Shivaraj Raju,37,M,A1
429,267,Mamatha Murthy,28,F,A1
430,268,Naveen Sharma,29,M,A1
431,268,Shobha Bhat,28,F,A2
432,268,Geetha Sharma,18,F,A3
433,269,Ramesh Sharma,28,M,A1
434,270,Mahesh Bhat,27,M,A1
435,270,Rekha Pillai,22,F,A2
436,271,Ravi Hegde,39,M,A1
437,272,Basavaraj Kumar,19,M,A1
438,273,Suresh Naik,18,M,A1
439,274,Asha Patil,24,F,A1
440,274,Harish Pillai,32,M,A2
441,275,Girish Reddy,39,M,A1
442,276,Basavaraj Nair,26,M,A1
443,276,Srinivas Murthy,24,M,A2
444,276,Girish Pillai,26,M,A3
445,277,Basavaraj Rao,25,M,A1
446,277,Girish Kumar,30,M,A2
447,278,Srinivas Bhat,24,M,A1
448,278,Ramesh Kumar,32,M,A2
449,279,Rekha Reddy,18,F,A1
450,279,Dinesh Murthy,32,M,A2
451,280,Usha Naik,24,F,A1
452,280,Praveen Naik,27,M,A2
453,281,Rekha Kumar,18,F,A1
454,282,Manjunath Naik,27,M,A1
455,283,Harish Hegde,32,M,A1
456,283,Manjunath Shetty,34,M,A2
457,283,Ravi Murthy,21,M,A3
458,284,Harish Bhat,37,M,A1
459,284,Dinesh Sharma,22,M,A2
460,284,Kumar Murthy,28,M,A3
461,285,Rajesh Murthy,30,M,A1
462,286,Naresh Gowda,32,M,A1
463,287,Basavaraj Raju,21,M,A1
464,287,Basavaraj Bhat,38,M,A2
465,288,Manjunath Sharma,18,M,A1
466,288,Naresh Rao,34,M,A2
467,289,Venkatesh Bhat,18,M,A1
468,289,Shivaraj Rao,27,M,A2
469,289,Rajesh Kumar,18,M,A3
470,290,Dinesh Pillai,21,M,A1
471,291,Rajesh Pillai,22,M,A1
472,292,Rajesh Rao,36,M,A1
473,293,Prakash Rao,32,M,A1
474,293,Savitha Rao,19,F,A2
475,293,Ganesh Swamy,34,M,A3
476,294,Savitha Reddy,28,F,A1
477,294,Praveen Bhat,18,M,A2
478,294,Prakash Bhat,25,M,A3
479,295,Pushpa Sharma,34,F,A1
480,295,Srinivas Murthy,38,M,A2
481,296,Ravi Reddy,33,M,A1
482,296,Girish Pillai,35,M,A2
483,296,Ravi Murthy,28,M,A3
484,297,Venkatesh Pillai,24,M,A1
485,298,Shobha Gowda,26,F,A1
486,299,Santosh Murthy,39,M,A1
487,300,Srinivas Naik,21,M,A1
488,301,Praveen Murthy,28,M,A1
489,302,Usha Rao,31,F,A1
490,303,Mahesh Murthy,26,M,A1
491,304,Shobha Kumar,20,F,A1
492,304,Praveen Sharma,29,M,A2
493,305,Suma Sharma,38,F,A1
494,305,Naresh Shetty,30,M,A2
495,305,Rajesh Rao,29,M,A3
496,306,Prakash Reddy,29,M,A1
497,306,Anitha Swamy,37,F,A2
498,307,Ramesh Gowda,24,M,A1
499,308,Naresh Nair,22,M,A1
500,308,Naveen Sharma,26,M,A2
501,309,Ganesh Sharma,31,M,A1
502,309,Naveen Bhat,31,M,A2
503,310,Basavaraj Kumar,20,M,A1
504,310,Anitha Swamy,32,T,A2
505,310,Mamatha Hegde,32,F,A3
506,311,Srinivas Shetty,28,M,A1
507,311,Praveen Shetty,18,M,A2
508,311,Harish Rao,27,M,A3
509,311,Srinivas Raju,28,M,A4
510,312,Geetha Reddy,33,F,A1
511,313,Dinesh Naik,31,M,A1
512,313,Prakash Bhat,19,M,A2
513,314,Santosh Hegde,32,M,A1
514,314,Girish Raju,23,M,A2
515,315,Mahesh Swamy,27,M,A1
516,316,Shobha Swamy,25,F,A1
517,316,Srinivas Nair,39,M,A2
518,316,Ganesh Naik,29,M,A3
519,316,Dinesh Murthy,29,M,A4
520,317,Kumar Swamy,32,M,A1
521,317,Dinesh Nair,33,M,A2
522,317,Praveen Kumar,18,M,A3
523,318,Ravi Gowda,34,M,A1
524,319,Naveen Patil,38,M,A1
525,320,Kumar Hegde,29,M,A1
526,321,Kavitha Patil,18,F,A1
527,321,Prakash Pillai,22,M,A2
528,322,Prakash Patil,18,M,A1
529,322,Venkatesh Sharma,28,M,A2
530,323,Harish Murthy,29,M,A1
531,323,Srinivas Naik,37,M,A2
532,323,Kavitha Nair,39,F,A3
533,323,Rajesh Reddy,48,M,A4
534,324,Dinesh Shetty,22,M,A1
535,324,Naresh Nair,26,M,A2
536,325,Manjunath Shetty,28,M,A1
537,325,Shobha Pillai,27,F,A2
538,326,Ramesh Raju,22,M,A1
539,327,Shivaraj Reddy,30,M,A1
540,327,Naresh Sharma,33,M,A2
541,327,Santosh Naik,27,M,A3
542,328,Praveen Sharma,28,M,A1
543,329,Praveen Rao,46,M,A1
544,329,Manjunath Murthy,33,M,A2
545,329,Naveen Shetty,19,M,A3
546,330,Girish Pillai,18,M,A1
547,331,Geetha Gowda,21,F,A1
548,332,Srinivas Pillai,33,M,A1
549,333,Shivaraj Nair,28,M,A1
550,334,Rekha Reddy,27,F,A1
551,335,Praveen Swamy,18,M,A1
552,336,Basavaraj Swamy,38,M,A1
553,336,Naresh Reddy,21,M,A2
554,337,Suresh Nair,36,M,A1
555,338,Suresh Nair,38,M,A1
556,339,Ramesh Bhat,18,M,A1
557,340,Srinivas Shetty,39,M,A1
558,340,Manjunath Bhat,30,M,A2
559,341,Mahesh Pillai,38,M,A1
560,341,Ramesh Sharma,34,M,A2
561,341,Rajesh Gowda,25,M,A3
562,342,Kumar Bhat,36,M,A1
563,342,Manjunath Gowda,42,M,A2
564,342,Naresh Rao,36,M,A3
565,343,Naveen Sharma,31,M,A1
566,343,Basavaraj Bhat,20,M,A2
567,343,Srinivas Bhat,41,M,A3
568,344,Suma Bhat,20,F,A1
569,344,Srinivas Patil,32,M,A2
570,344,Geetha Reddy,23,F,A3
571,345,Girish Sharma,19,M,A1
572,346,Naveen Naik,38,M,A1
573,346,Suma Naik,39,F,A2
574,347,Pushpa Hegde,19,T,A1
575,348,Shivaraj Swamy,31,M,A1
576,349,Girish Patil,26,M,A1
577,349,Lakshmi Kumar,18,F,A2
578,350,Kavitha Shetty,20,F,A1
579,351,Mamatha Swamy,24,T,A1
580,352,Prakash Rao,30,M,A1
581,352,Lakshmi Naik,44,F,A2
582,352,Rajesh Swamy,36,M,A3
583,353,Geetha Naik,30,F,A1
584,354,Ganesh Raju,27,M,A1
585,354,Manjunath Hegde,18,M,A2
586,354,Shobha Pillai,23,F,A3
587,355,Srinivas Patil,37,M,A1
588,355,Venkatesh Murthy,35,M,A2
589,355,Harish Gowda,18,M,A3
590,356,Pushpa Pillai,25,F,A1
591,357,Kumar Bhat,22,M,A1
592,357,Venkatesh Gowda,18,M,A2
593,357,Girish Raju,24,M,A3
594,358,Geetha Shetty,33,F,A1
595,359,Vinitha Reddy,31,F,A1
596,360,Mahesh Rao,18,M,A1
597,361,Santosh Naik,30,M,A1
598,362,Manjunath Naik,32,M,A1
599,363,Ramesh Sharma,35,M,A1
600,364,Manjunath Shetty,34,M,A1
601,365,Harish Shetty,26,M,A1
602,365,Srinivas Shetty,32,M,A2
603,366,Harish Shetty,35,M,A1
604,366,Prakash Pillai,18,M,A2
605,367,Naveen Patil,33,M,A1
606,367,Venkatesh Swamy,18,M,A2
607,368,Girish Swamy,24,M,A1
608,368,Mahesh Murthy,26,M,A2
609,369,Harish Sharma,32,M,A1
610,369,Srinivas Sharma,27,M,A2
611,369,Kavitha Bhat,33,F,A3
612,369,Shivaraj Patil,24,M,A4
613,370,Ganesh Bhat,33,M,A1
614,371,Manjunath Raju,31,M,A1
615,372,Manjunath Sharma,29,M,A1
616,373,Ganesh Raju,25,M,A1
617,374,Venkatesh Murthy,26,M,A1
618,375,Savitha Bhat,27,F,A1
619,376,Ravi Gowda,22,M,A1
620,377,Anitha Gowda,21,F,A1
621,377,Shobha Murthy,27,F,A2
622,378,Naresh Swamy,30,M,A1
623,378,Srinivas Murthy,28,M,A2
624,378,Dinesh Bhat,19,M,A3
625,379,Mahesh Swamy,25,M,A1
626,379,Santosh Hegde,28,M,A2
627,379,Suma Shetty,24,F,A3
628,379,Anitha Patil,29,F,A4
629,380,Prakash Swamy,23,M,A1
630,381,Naresh Gowda,25,M,A1
631,382,Harish Swamy,29,M,A1
632,383,Srinivas Shetty,39,M,A1
633,384,Savitha Shetty,33,F,A1
634,384,Girish Rao,25,M,A2
635,385,Srinivas Nair,30,M,A1
636,385,Srinivas Murthy,37,M,A2
637,386,Meena Patil,26,F,A1
638,387,Praveen Bhat,33,M,A1
639,388,Rekha Swamy,23,F,A1
640,389,Girish Sharma,28,M,A1
641,390,Kavitha Murthy,30,F,A1
642,391,Srinivas Naik,25,M,A1
643,391,Suma Reddy,18,F,A2
644,392,Venkatesh Raju,39,M,A1
645,392,Prakash Gowda,25,M,A2
646,393,Girish Kumar,31,M,A1
647,394,Praveen Rao,26,M,A1
648,395,Praveen Kumar,19,M,A1
649,395,Santosh Rao,38,M,A2
650,396,Praveen Swamy,33,M,A1
651,396,Lakshmi Sharma,18,F,A2
652,397,Naresh Nair,21,M,A1
653,398,Lakshmi Gowda,34,T,A1
654,398,Naresh Raju,40,M,A2
655,399,Ravi Naik,30,M,A1
656,400,Rajesh Shetty,22,M,A1
657,401,Shivaraj Hegde,35,M,A1
658,401,Venkatesh Kumar,38,M,A2
659,401,Shivaraj Rao,21,M,A3
660,402,Rajesh Raju,32,M,A1
661,402,Naveen Gowda,18,M,A2
662,402,Harish Raju,27,M,A3
663,403,Mahesh Sharma,23,M,A1
664,404,Manjunath Pillai,24,M,A1
665,404,Mahesh Naik,29,M,A2
666,405,Pushpa Swamy,21,T,A1
667,405,Naveen Kumar,20,M,A2
668,406,Manjunath Hegde,30,M,A1
669,406,Ravi Kumar,19,M,A2
670,406,Srinivas Shetty,18,M,A3
671,406,Shivaraj Rao,35,M,A4
672,407,Usha Pillai,24,F,A1
673,408,Manjunath Sharma,18,M,A1
674,409,Ramesh Bhat,22,M,A1
675,409,Manjunath Patil,24,M,A2
676,409,Lakshmi Sharma,20,F,A3
677,410,Harish Kumar,18,M,A1
678,410,Santosh Kumar,30,M,A2
679,410,Shivaraj Bhat,28,M,A3
680,411,Naresh Hegde,29,M,A1
681,412,Srinivas Raju,28,M,A1
682,413,Naresh Naik,32,M,A1
683,414,Praveen Patil,26,M,A1
684,415,Harish Kumar,40,M,A1
685,416,Ravi Swamy,18,M,A1
686,417,Prakash Naik,18,M,A1
687,418,Girish Raju,18,M,A1
688,418,Mahesh Shetty,18,M,A2
689,419,Dinesh Patil,24,M,A1
690,420,Praveen Gowda,25,M,A1
