EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
94,12,116,2,3,KA1547605,Naresh Naik,1970-05-20,M,4,0,1995-01-01
95,12,117,6,1,KA4916201,Harish Bhat,1993-10-29,M,5,0,2019-08-31
96,3,51,5,1,KA4771676,Praveen Raju,1977-12-13,M,3,0,2000-07-30
97,1,16,1,3,KA5842082,Asha Reddy,1989-07-30,F,8,0,2016-01-03
98,5,70,2,4,KA8344375,Harish Bhat,1974-07-28,M,2,0,1999-08-01
99,22,155,2,1,KA4840714,Kumar Bhat,1985-10-15,M,1,0,2007-12-01
100,20,148,1,2,KA8893693,Pushpa Pillai,1995-03-20,F,8,0,2021-06-23
101,24,163,2,4,KA6837817,Kavitha Swamy,1974-12-18,F,7,0,1997-06-16
102,7,85,1,4,KA5835492,Ganesh Pillai,1978-07-22,M,7,0,2004-06-05
103,1,23,2,3,KA2944841,Shivaraj Naik,1982-11-29,M,7,0,2006-04-23
104,17,139,6,1,KA1909393,Rajesh Raju,1976-04-18,M,4,0,2000-08-06
105,24,161,2,1,KA4415140,Naveen Nair,1977-03-11,M,5,0,2003-06-09
106,30,179,7,1,KA1484348,Harish Shetty,1975-04-12,M,4,0,1997-12-10
107,18,142,1,2,KA2903561,Harish Murthy,1978-09-20,M,8,0,2001-03-23
108,14,128,1,3,KA7970771,Pushpa Pillai,1983-12-06,F,8,0,2008-10-07
109,2,38,3,1,KA9526867,Lakshmi Shetty,1979-10-25,F,3,0,2002-11-13
110,10,107,5,1,KA9518424,Girish Nair,1981-10-10,M,5,0,2008-03-05
111,20,151,1,4,KA3493017,Harish Bhat,1971-01-03,M,8,0,1996-09-09
112,17,140,3,1,KA6398528,Prakash Patil,1980-02-06,M,4,0,2004-08-20
113,4,60,2,3,KA8935224,Lakshmi Swamy,1978-08-05,F,7,0,2000-10-27
114,2,33,1,3,KA2683838,Ramesh Shetty,1974-06-28,M,8,0,1999-10-13
115,2,37,4,1,KA3589751,Srinivas Naik,1978-08-18,M,2,0,2005-06-30
116,29,178,3,1,KA2347467,Girish Patil,1979-03-11,M,6,0,2004-10-25
117,24,161,2,1,KA2147909,Shivaraj Hegde,1975-02-18,M,4,0,2002-01-03
118,1,24,4,1,KA2686231,Harish Kumar,1977-07-21,M,8,0,2000-02-02
119,1,12,1,1,KA5921894,Harish Sharma,1982-06-21,M,6,0,2008-12-01
120,10,106,3,1,KA4020853,Ramesh Kumar,1971-08-20,M,3,0,1997-06-10
121,23,159,2,2,KA4895475,Naveen Pillai,1986-03-21,M,8,0,2010-12-29
122,1,3,4,1,KA3650391,Srinivas Rao,1976-02-25,M,2,0,1999-10-01
123,25,164,1,3,KA8664433,Prakash Swamy,1977-12-27,M,5,0,2003-11-04
124,1,28,2,3,KA5963914,Ravi Pillai,1986-05-19,M,5,0,2010-07-03
125,19,145,1,4,KA5801541,Ravi Rao,1994-10-27,M,4,0,2020-03-15
126,3,49,4,1,KA3294774,Prakash Kumar,1969-03-03,M,2,0,1992-07-23
127,11,113,1,3,KA3204724,Pushpa Naik,1995-07-11,F,2,0,2020-10-03
128,3,45,2,3,KA9906224,Rekha Bhat,1988-01-06,F,5,0,2010-09-27
129,13,124,6,1,KA6682698,Girish Sharma,1983-10-13,M,2,0,2009-12-13
130,4,58,5,1,KA7136687,Mahesh Reddy,1979-03-12,M,2,0,2005-12-02
131,1,32,3,1,KA5398338,Rajesh Rao,1976-08-14,M,7,0,2000-09-01
132,4,60,4,1,KA6503032,Prakash Gowda,1975-11-15,M,4,0,1997-12-30
133,6,78,4,1,KA2957497,Srinivas Sharma,1967-11-24,M,3,0,1992-03-03
134,1,30,2,2,KA7520395,Suresh Rao,1992-08-29,M,8,0,2015-12-17
135,3,40,3,1,KA2661307,Shivaraj Hegde,1978-05-30,M,8,0,2004-01-25
136,9,95,4,1,KA8460758,Girish Naik,1987-04-11,M,4,0,2011-09-30
137,17,140,2,1,KA7679674,Ganesh Raju,1968-02-05,M,5,0,1992-02-03
138,12,117,6,1,KA4558545,Ganesh Pillai,1992-11-28,M,1,0,2018-08-11
139,19,145,1,2,KA4623062,Santosh Kumar,1987-10-25,M,4,0,2010-03-08
140,21,153,7,1,KA3427461,Ramesh Nair,1996-11-22,M,3,0,2020-06-06
141,1,7,4,1,KA7010308,Naresh Gowda,1991-02-09,M,4,0,2013-03-05
142,1,14,1,4,KA9826250,Rajesh Reddy,1991-05-03,M,2,0,2017-06-24
143,8,93,5,1,KA2829622,Basavaraj Shetty,1973-12-31,M,8,0,1999-04-24
144,26,169,4,1,KA8684678,Naveen Naik,1973-08-18,M,1,0,1997-04-21
145,11,110,2,4,KA2232969,Basavaraj Pillai,1992-03-06,M,2,0,2016-11-29
146,6,71,1,3,KA7390515,Ramesh Gowda,1969-01-06,M,5,0,1994-07-20
147,30,180,1,2,KA8215376,Naveen Hegde,1991-11-21,M,8,0,2018-08-27
148,12,117,6,1,KA2595275,Usha Patil,1979-02-19,F,6,0,2003-06-14
149,29,176,1,1,KA2432176,Girish Patil,1975-09-30,M,2,0,1998-02-08
150,18,143,1,3,KA3050700,Prakash Nair,1994-05-01,M,7,0,2019-08-09
151,1,14,7,1,KA6242022,Kumar Pillai,1984-02-13,M,6,0,2009-06-20
152,26,169,1,1,KA6873938,Manjunath Kumar,1975-05-23,M,6,0,1998-08-19
153,11,110,1,1,KA5487028,Girish Swamy,1971-11-10,M,1,0,1998-02-22
154,8,90,2,2,KA7724045,Harish Sharma,1996-09-29,M,2,0,2019-09-30
155,16,136,4,1,KA8043620,Rajesh Gowda,1987-05-16,M,8,0,2011-06-19
156,7,84,4,1,KA2425342,Prakash Rao,1971-07-24,M,1,0,1996-11-20
157,1,21,4,1,KA8113787,Naveen Naik,1984-10-24,M,8,0,2009-04-13
158,15,132,1,4,KA2860421,Kumar Rao,1991-12-01,M,5,0,2015-11-01
159,27,171,3,1,KA4699685,Praveen Shetty,1983-03-09,M,7,0,2005-06-04
160,6,78,1,2,KA5286905,Anitha Naik,1987-07-19,F,5,0,2013-10-31
161,11,111,4,1,KA7378822,Rajesh Shetty,1989-02-20,M,4,0,2011-11-06
162,1,11,2,4,KA2306317,Prakash Gowda,1977-06-14,M,6,0,1999-07-17
163,25,164,4,1,KA2932288,Praveen Hegde,1978-04-14,M,7,0,2001-11-21
164,23,159,5,1,KA7070880,Santosh Reddy,1976-05-19,M,2,0,2003-01-11
165,20,151,2,1,KA7639863,Ganesh Kumar,1979-01-22,M,5,0,2003-12-25
166,3,44,5,1,KA2913049,Venkatesh Patil,1993-08-05,M,4,0,2018-06-10
167,25,166,4,1,KA2724773,Rekha Patil,1990-05-25,F,3,0,2013-09-14
168,26,168,1,4,KA8783840,Naresh Swamy,1993-08-22,M,8,0,2016-08-13
169,23,160,4,1,KA6303930,Praveen Raju,1982-07-10,M,3,0,2009-05-08
170,6,78,4,1,KA1942411,Basavaraj Shetty,1984-09-12,M,6,0,2009-12-31
171,1,10,2,3,KA2287332,Harish Shetty,1994-06-20,M,2,0,2018-07-09
172,20,149,2,1,KA8545279,Manjunath Hegde,1972-02-27,M,4,0,1998-07-31
173,1,16,1,3,KA2414808,Basavaraj Murthy,1976-10-23,M,3,0,1999-05-17
174,15,134,3,1,KA7105194,Srinivas Shetty,1969-08-31,M,6,0,1992-07-16
175,8,87,5,1,KA6614484,Usha Hegde,1970-03-15,F,2,0,1992-06-24
176,6,73,2,2,KA6592886,Shivaraj Raju,1985-09-19,M,2,0,2011-10-05
177,7,80,2,4,KA3163449,Ramesh Sharma,1967-08-05,M,2,0,1993-06-29
178,7,85,5,1,KA9831414,Ravi Raju,1991-04-16,M,2,0,2017-01-11
179,1,5,2,2,KA4593556,Kumar Murthy,1980-10-03,M,6,0,2004-06-21
180,2,36,1,3,KA2696860,Meena Kumar,1990-01-26,F,1,0,2012-06-27
181,9,97,3,1,KA4034091,Naveen Reddy,1990-02-06,M,3,0,2012-12-29
182,28,174,2,3,KA8531761,Suresh Hegde,1986-05-14,M,4,0,2010-11-03
183,13,121,5,1,KA8391997,Harish Nair,1988-04-26,M,8,0,2012-05-13
184,11,108,3,1,KA4350371,Ravi Murthy,1989-10-01,M,3,0,2016-04-24
185,9,96,2,1,KA5782563,Suresh Raju,1972-02-23,M,2,0,1994-09-15
186,15,132,7,1,KA8339571,Girish Shetty,1990-05-30,M,2,0,2017-01-19
187,8,90,2,1,KA7651393,Lakshmi Pillai,1995-10-29,F,6,0,2020-02-19
188,1,8,1,3,KA3450300,Mahesh Patil,1982-09-22,M,3,0,2005-04-06
189,2,36,6,1,KA1088100,Basavaraj Bhat,1975-12-24,M,2,0,2000-06-23
190,18,141,1,4,KA2865405,Dinesh Pillai,1969-09-16,M,5,0,1994-08-26
191,11,108,1,4,KA2053729,Ganesh Naik,1968-05-11,M,2,0,1994-10-17
192,1,5,3,1,KA5059048,Basavaraj Swamy,1968-09-03,M,3,0,1993-07-19
193,5,62,2,2,KA2436363,Rajesh Swamy,1971-06-04,M,6,0,1995-09-29
194,15,130,3,1,KA7550726,Manjunath Murthy,1972-02-29,M,8,0,1994-04-05
195,1,5,1,1,KA6784825,Ravi Patil,1981-01-01,M,4,0,2007-05-29
196,7,86,3,1,KA6910597,Ganesh Nair,1991-01-14,M,6,0,2013-04-08
197,29,176,5,1,KA9028420,Naresh Pillai,1976-03-06,M,3,0,2002-01-23
198,12,118,5,1,KA4382135,Mahesh Bhat,1995-05-13,M,1,0,2018-12-28
199,7,80,7,1,KA8942330,Suresh Patil,1973-11-25,M,5,0,1998-02-12
200,1,13,2,3,KA3088344,Dinesh Rao,1967-08-10,M,6,0,1991-06-14
201,9,99,2,4,KA9347057,Ravi Bhat,1981-10-24,M,6,0,2004-11-04
202,1,22,5,1,KA8224389,Geetha Rao,1977-12-23,F,3,0,2000-05-27
203,7,84,1,3,KA8481225,Santosh Gowda,1967-05-17,M,7,0,1991-01-06
204,1,11,2,4,KA5606274,Srinivas Patil,1981-03-16,M,1,0,2006-08-21
205,28,174,3,1,KA3395441,Ravi Patil,1989-11-04,M,8,0,2012-01-01
206,25,166,5,1,KA7423230,Mahesh Kumar,1980-08-03,M,1,0,2004-08-08
207,11,114,2,2,KA9882862,Srinivas Patil,1993-07-28,M,6,0,2018-10-10
208,1,7,1,4,KA2975701,Girish Kumar,1988-09-03,M,5,0,2013-06-16
209,6,74,3,1,KA3057514,Srinivas Kumar,1974-12-27,M,3,0,1998-02-03
210,31,183,7,1,KA6361793,Srinivas Reddy,1977-01-20,M,6,0,1999-07-13
211,6,77,1,2,KA7064832,Shivaraj Murthy,1989-12-15,M,4,0,2015-12-06
212,4,61,1,3,KA7189302,Dinesh Nair,1974-11-10,M,8,0,1996-12-27
213,1,23,3,1,KA7680015,Shivaraj Reddy,1994-01-26,M,8,0,2017-10-15
214,1,19,3,1,KA2244282,Kumar Pillai,1991-05-26,M,8,0,2015-02-28
215,18,142,1,2,KA3164813,Manjunath Patil,1968-04-27,M,7,0,1993-08-07
216,15,133,1,2,KA3717354,Suresh Pillai,1990-02-26,M,6,0,2013-11-04
217,6,73,3,1,KA4293399,Lakshmi Patil,1993-06-25,F,5,0,2016-11-14
218,1,24,3,1,KA3829240,Harish Swamy,1974-06-23,M,3,0,2000-01-20
219,22,155,7,1,KA1691125,Naveen Bhat,1981-11-16,M,1,0,2008-08-01
220,4,54,4,1,KA1508113,Praveen Rao,1971-05-11,M,8,0,1995-09-05
221,6,78,4,1,KA7813102,Geetha Rao,1975-05-11,F,5,0,1998-09-18
222,10,107,2,2,KA6707484,Suresh Reddy,1975-04-20,M,3,0,1999-11-21
223,8,89,6,1,KA7216632,Santosh Bhat,1979-02-19,M,2,0,2001-11-07
224,12,116,1,1,KA1849015,Srinivas Gowda,1985-11-25,M,5,0,2008-09-03
225,5,64,2,3,KA6246485,Asha Swamy,1989-11-09,F,4,0,2016-05-27
226,14,128,2,1,KA2510773,Basavaraj Murthy,1983-03-07,M,7,0,2007-12-14
227,8,91,3,1,KA5720376,Venkatesh Kumar,1994-11-02,M,8,0,2017-02-07
228,1,3,3,1,KA3247055,Basavaraj Rao,1992-03-13,M,5,0,2016-08-06
229,10,103,1,2,KA7082139,Ravi Patil,1994-09-22,M,5,0,2019-11-27
230,18,141,5,1,KA2993318,Manjunath Shetty,1984-06-22,M,3,0,2011-02-01
231,8,87,5,1,KA3420404,Usha Patil,1971-12-31,F,4,0,1996-01-12
232,1,12,1,3,KA8948107,Ravi Murthy,1995-04-11,M,8,0,2018-01-10
233,22,157,2,4,KA6020319,Manjunath Reddy,1982-09-25,M,6,0,2005-08-17
234,31,182,2,4,KA1279121,Manjunath Murthy,1971-10-09,M,6,0,1995-06-08
235,6,79,3,1,KA8962302,Ganesh Hegde,1968-10-17,M,5,0,1990-12-05
236,20,148,3,1,KA1861596,Shobha Nair,1986-10-24,F,8,0,2012-11-03
237,9,98,6,1,KA5063384,Naveen Nair,1990-05-23,M,1,0,2016-12-24
238,11,113,1,2,KA7928320,Ganesh Kumar,1982-12-13,M,4,0,2007-04-13
239,1,16,2,2,KA6453426,Naveen Sharma,1990-10-29,M,8,0,2015-09-20
240,16,137,2,3,KA5435261,Santosh Reddy,1981-08-31,M,8,0,2006-09-17
241,6,77,3,1,KA5848684,Venkatesh Rao,1986-12-07,M,4,0,2010-08-02
242,8,90,2,3,KA5828304,Basavaraj Patil,1971-11-17,M,2,0,1998-04-27
243,10,102,7,1,KA3457461,Shivaraj Hegde,1981-07-16,M,5,0,2007-11-10
244,11,114,7,1,KA9037616,Mahesh Patil,1967-08-06,M,4,0,1991-01-07
245,19,144,7,1,KA2832517,Shivaraj Rao,1984-11-01,M,4,0,2007-08-04
246,4,60,4,1,KA7934046,Manjunath Kumar,1994-08-31,M,6,0,2017-03-18
247,2,36,5,1,KA3649811,Ganesh Raju,1996-10-15,M,7,0,2021-11-10
248,4,52,4,1,KA5788474,Basavaraj Shetty,1984-02-19,M,1,0,2007-12-02
249,4,60,3,1,KA1625760,Suma Raju,1973-01-06,F,3,0,1999-02-21
250,1,10,7,1,KA9311162,Naresh Sharma,1979-03-19,M,3,0,2005-08-12
251,1,10,1,1,KA6621073,Asha Sharma,1996-08-09,F,5,0,2020-04-06
252,2,35,2,3,KA4234838,Shivaraj Murthy,1974-05-27,M,2,0,1999-01-04
253,31,184,1,3,KA5949685,Srinivas Raju,1988-09-01,M,4,0,2010-09-24
254,15,132,2,4,KA2600296,Ravi Pillai,1982-04-24,M,3,0,2004-10-12
255,5,64,7,1,KA7435310,Meena Patil,1996-09-18,F,4,0,2020-02-29
256,20,150,1,3,KA7032283,Girish Patil,1971-04-28,M,4,0,1993-05-15
257,3,41,1,3,KA2969909,Ganesh Shetty,1978-11-01,M,5,0,2004-08-31
258,13,123,1,3,KA7976731,Venkatesh Kumar,1990-02-24,M,8,0,2014-09-07
259,28,175,1,1,KA9816538,Dinesh Nair,1970-04-18,M,8,0,1997-03-05
260,19,145,7,1,KA9480665,Prakash Gowda,1991-12-27,M,4,0,2014-04-26
261,15,134,2,2,KA9201172,Ramesh Reddy,1977-03-14,M,2,0,1999-11-02
262,12,117,1,4,KA8663806,Meena Nair,1991-02-07,F,1,0,2015-12-19
263,10,102,1,1,KA4655777,Harish Bhat,1985-08-09,M,2,0,2012-03-02
264,17,139,1,4,KA1532422,Prakash Bhat,1994-04-26,M,5,0,2016-09-08
265,25,166,4,1,KA7416943,Ramesh Nair,1978-03-01,M,8,0,2002-03-31
266,28,175,1,2,KA6834610,Ravi Hegde,1967-05-03,M,2,0,1994-03-23
267,2,33,3,1,KA1058272,Shivaraj Hegde,1987-01-12,M,1,0,2013-09-11
268,17,140,4,1,KA7363203,Meena Raju,1977-12-30,F,4,0,2002-12-18
269,3,49,1,4,KA1262492,Prakash Reddy,1991-12-17,M,4,0,2014-02-14
270,12,115,1,1,KA5105957,Ganesh Swamy,1970-03-16,M,1,0,1995-12-16
271,1,15,1,3,KA4928578,Venkatesh Murthy,1990-09-26,M,6,0,2015-07-18
272,2,37,1,2,KA7938388,Santosh Kumar,1967-05-29,M,5,0,1992-04-24
273,3,45,7,1,KA8167236,Shivaraj Swamy,1968-12-09,M,8,0,1994-09-24
274,9,98,4,1,KA7984768,Prakash Raju,1973-06-30,M,7,0,1997-04-07
275,17,138,5,1,KA4780654,Ravi Reddy,1975-10-12,M,5,0,1999-02-11
276,1,15,2,4,KA9891787,Ramesh Nair,1971-10-17,M,3,0,1996-02-03
277,25,166,2,3,KA2551288,Girish Kumar,1993-06-22,M,4,0,2017-12-24
278,22,155,3,1,KA2221118,Ravi Raju,1995-04-01,M,4,0,2022-02-17
279,19,144,4,1,KA4504577,Praveen Bhat,1987-04-15,M,6,0,2011-12-16
280,3,49,7,1,KA9034958,Rajesh Kumar,1991-10-04,M,4,0,2017-12-05
281,5,62,7,1,KA5748945,Dinesh Hegde,1972-04-03,M,7,0,1996-01-16
282,8,93,1,4,KA8818250,Prakash Rao,1974-01-07,M,2,0,2000-12-13
283,7,82,6,1,KA6249960,Basavaraj Nair,1987-11-28,M,7,0,2011-12-21
284,1,5,1,4,KA5952504,Venkatesh Bhat,1985-04-28,M,3,0,2010-05-30
285,5,63,3,1,KA6663388,Venkatesh Hegde,1974-08-16,M,5,0,1999-09-11
286,14,126,4,1,KA6908535,Basavaraj Bhat,1976-05-07,M,3,0,1999-04-11
287,17,139,1,1,KA2247057,Shivaraj Shetty,1968-03-25,M,1,0,1990-07-18
288,24,162,6,1,KA3533857,Kumar Reddy,1986-08-22,M,1,0,2009-01-02
289,23,159,1,4,KA9184838,Srinivas Patil,1968-05-31,M,1,0,1994-02-19
290,1,5,1,3,KA9988193,Shivaraj Hegde,1973-04-10,M,5,0,1999-04-23
291,3,46,7,1,KA9797727,Kumar Nair,1992-03-21,M,3,0,2014-09-29
292,8,91,1,4,KA2325722,Naveen Murthy,1985-01-11,M,6,0,2011-06-22
293,30,179,1,1,KA1531577,Meena Swamy,1986-11-21,F,2,0,2010-07-22
294,1,15,2,2,KA2387242,Ravi Murthy,1968-06-16,M,8,0,1990-06-30
295,1,25,6,1,KA4854842,Santosh Swamy,1973-04-30,M,4,0,1995-07-21
296,13,122,3,1,KA2247353,Vinitha Sharma,1984-11-10,F,5,0,2007-02-08
297,3,46,1,2,KA3419132,Mamatha Raju,1982-11-30,F,7,0,2004-12-26
298,5,62,3,1,KA7528964,Savitha Reddy,1971-08-08,F,6,0,1998-04-07
299,1,21,4,1,KA6802559,Ramesh Nair,1974-07-23,M,1,0,2000-09-20
300,8,88,1,4,KA6475691,Venkatesh Pillai,1969-11-15,M,1,0,1996-03-02
301,8,92,1,4,KA4116163,Srinivas Shetty,1972-03-19,M,7,0,1996-04-20
302,5,64,5,1,KA5495824,Naveen Rao,1993-09-21,M,3,0,2016-03-02
303,7,82,2,1,KA1087161,Ramesh Bhat,1980-11-03,M,5,0,2003-06-04
304,1,23,1,4,KA9597330,Girish Gowda,1988-08-12,M,7,0,2013-01-05
305,1,24,3,1,KA6443037,Mahesh Patil,1970-03-30,M,7,0,1995-07-31
306,1,22,5,1,KA9742683,Kumar Hegde,1971-12-03,M,3,0,1995-04-08
