VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
105,96,Pushpa Shetty,35,F,0
106,97,Rekha Hegde,36,F,0
107,98,Shobha Rao,35,F,0
108,99,Kavitha Sharma,30,F,0
109,100,Mahesh Rao,30,M,0
110,101,Girish Hegde,51,T,0
111,102,Venkatesh Rao,5,M,0
112,103,Kumar Raju,18,M,0
113,104,Praveen Raju,30,M,0
114,105,Savitha Rao,44,F,1
115,106,Prakash Kumar,42,M,0
116,107,Naresh Hegde,38,M,0
117,108,Geetha Reddy,56,F,0
118,109,Savitha Naik,52,F,0
119,109,Mahesh Swamy,30,M,0
120,110,Dinesh Hegde,70,M,0
121,111,Lakshmi Shetty,34,F,0
122,112,Santosh Hegde,67,M,0
123,113,Asha Rao,25,F,0
124,114,Lakshmi Hegde,19,F,0
125,115,Shobha Raju,16,F,0
126,116,Suma Kumar,39,F,0
127,117,Ravi Bhat,30,M,0
128,118,Naveen Sharma,37,M,0
129,119,Shivaraj Patil,30,T,0
130,120,Mamatha Murthy,21,F,0
131,121,Shobha Shetty,33,F,0
132,122,Ramesh Reddy,23,M,0
133,123,Geetha Murthy,68,F,0
134,124,Venkatesh Reddy,47,M,0
135,124,Mahesh Raju,49,M,0
136,125,Lakshmi Bhat,32,F,0
137,126,Suresh Bhat,19,M,0
138,127,Meena Kumar,54,F,0
139,128,Savitha Hegde,25,F,0
140,129,Suma Gowda,51,F,0
141,130,Naresh Naik,49,M,0
142,131,Pushpa Nair,37,F,0
143,132,Manjunath Gowda,15,M,0
144,133,Usha Sharma,9,F,0
145,134,Girish Kumar,32,M,0
146,135,Suresh Sharma,50,M,0
147,136,Meena Raju,41,F,0
148,137,Shivaraj Kumar,63,M,0
149,138,Mahesh Gowda,7,M,0
150,139,Santosh Reddy,36,M,0
151,140,Dinesh Rao,29,M,0
152,141,Mahesh Shetty,44,M,0
153,142,Lakshmi Sharma,31,F,0
154,143,Prakash Pillai,25,M,0
155,143,Asha Shetty,37,F,0
156,144,Usha Rao,17,F,0
157,145,Usha Patil,70,F,0
158,146,Geetha Raju,30,F,0
159,147,Kavitha Swamy,27,F,0
160,148,Dinesh Hegde,59,M,0
161,149,Usha Murthy,36,F,0
162,150,Dinesh Swamy,20,M,0
163,151,Suresh Shetty,41,M,0
164,152,Mamatha Rao,29,F,0
165,153,Rekha Raju,32,F,0
166,153,Naresh Rao,20,M,0
167,154,Pushpa Gowda,53,F,0
168,155,Suma Gowda,34,F,0
169,156,Kavitha Raju,44,F,0
170,157,Santosh Swamy,23,M,0
171,158,Shobha Pillai,51,F,0
172,159,Harish Reddy,30,M,1
173,160,Santosh Kumar,63,M,0
174,161,Suma Pillai,28,F,0
175,162,Meena Pillai,30,F,0
176,163,Manjunath Sharma,35,M,0
177,164,Meena Patil,66,F,0
178,165,Mahesh Nair,54,M,0
179,166,Santosh Gowda,41,M,0
180,167,Vinitha Gowda,30,F,0
181,168,Mahesh Swamy,13,M,0
182,169,Harish Hegde,37,M,0
183,170,Geetha Raju,50,F,0
184,170,Savitha Shetty,41,F,0
185,171,Meena Naik,15,F,0
186,172,Santosh Shetty,28,M,0
187,173,Kavitha Kumar,57,F,0
188,174,Rajesh Kumar,31,M,0
189,175,Suma Bhat,53,F,0
190,176,Pushpa Shetty,30,F,0
191,177,Ramesh Raju,28,M,0
192,178,Shobha Swamy,35,F,0
193,179,Suresh Pillai,33,M,0
194,180,Manjunath Pillai,52,M,0
195,181,Srinivas Murthy,43,M,0
196,182,Mamatha Naik,47,F,0
197,183,Ganesh Rao,19,M,0
198,184,Shivaraj Hegde,32,M,0
199,184,Prakash Gowda,62,M,0
200,185,Suma Shetty,32,F,0
201,186,Shobha Raju,25,F,0
202,187,Shivaraj Hegde,10,M,0
203,188,Naveen Sharma,45,M,1
204,189,Geetha Reddy,41,F,0
205,190,Kumar Rao,24,M,0
206,191,Rajesh Bhat,68,M,0
207,192,Suresh Swamy,42,M,0
208,193,Savitha Bhat,51,F,0
209,194,Santosh Murthy,50,M,0
210,195,Prakash Gowda,18,M,0
211,196,Suma Gowda,51,F,0
212,197,Shobha Hegde,14,F,0
213,198,Mahesh Naik,35,M,0
214,198,Shivaraj Kumar,27,M,0
215,199,Ravi Murthy,5,M,0
216,200,Rekha Sharma,57,F,0
217,201,Shivaraj Gowda,38,M,0
218,202,Manjunath Gowda,15,M,0
219,203,Ravi Pillai,63,M,0
220,204,Usha Hegde,44,F,0
221,205,Savitha Murthy,6,F,0
222,206,Venkatesh Shetty,37,M,0
223,207,Naresh Hegde,22,M,0
224,207,Naveen Swamy,36,M,0
225,208,Mamatha Gowda,18,F,0
226,209,Suma Hegde,42,F,0
227,210,Mamatha Rao,31,F,0
228,211,Anitha Raju,34,F,0
229,212,Naresh Shetty,45,M,0
230,213,Suma Kumar,38,F,0
231,214,Venkatesh Bhat,35,M,0
232,215,Srinivas Bhat,41,M,0
233,216,Asha Swamy,9,F,0
234,217,Rekha Gowda,33,F,0
235,217,Santosh Hegde,35,M,0
236,218,Meena Sharma,47,F,0
237,219,Anitha Hegde,27,F,0
238,220,Praveen Hegde,31,M,0
239,221,Manjunath Bhat,37,T,0
240,222,Rekha Pillai,50,F,0
241,223,Mamatha Raju,44,F,0
242,224,Usha Hegde,22,F,0
243,225,Vinitha Hegde,49,F,0
244,226,Pushpa Reddy,32,F,0
245,227,Shivaraj Reddy,34,M,0
246,228,Asha Hegde,20,F,0
247,229,Naresh Reddy,44,M,0
248,230,Naresh Pillai,9,M,0
249,231,Kavitha Naik,48,F,0
250,232,Savitha Raju,47,F,0
251,233,Mamatha Hegde,20,F,0
252,234,Ramesh Raju,56,M,0
253,235,Meena Raju,25,F,0
254,236,Ganesh Rao,21,M,0
255,237,Venkatesh Sharma,5,M,0
256,238,Naresh Bhat,33,M,0
257,238,Meena Rao,26,F,0
258,239,Naveen Reddy,32,M,0
259,240,Suma Raju,37,F,0
260,241,Manjunath Patil,45,T,0
261,242,Ganesh Raju,45,M,0
262,243,Girish Shetty,22,M,0
263,244,Usha Naik,31,F,1
264,245,Geetha Murthy,31,F,0
265,246,Geetha Swamy,23,F,0
266,247,Mahesh Hegde,18,M,0
267,248,Shivaraj Gowda,45,M,0
268,249,Srinivas Hegde,46,M,0
269,250,Savitha Raju,43,F,0
270,251,Meena Shetty,52,F,0
271,252,Suresh Shetty,32,M,0
272,252,Savitha Naik,54,F,0
273,253,Savitha Patil,33,F,0
274,254,Prakash Murthy,52,M,0
275,255,Mamatha Murthy,31,F,0
276,256,Kavitha Reddy,51,F,0
277,257,Meena Shetty,37,F,0
278,258,Basavaraj Rao,46,M,0
279,259,Naveen Pillai,19,M,0
280,260,Vinitha Gowda,60,F,0
281,261,Savitha Reddy,62,F,0
282,262,Shobha Rao,31,F,0
283,263,Vinitha Bhat,5,F,0
284,264,Usha Naik,27,F,0
285,265,Rajesh Nair,5,M,0
286,266,Usha Patil,32,F,0
287,267,Rekha Shetty,38,F,0
288,268,Usha Reddy,33,F,0
289,269,Praveen Reddy,39,M,0
290,270,Rajesh Kumar,9,M,0
291,271,Shobha Rao,25,F,0
292,272,Santosh Nair,30,M,0
293,273,Rekha Naik,50,F,0
294,274,Manjunath Gowda,36,M,0
295,275,Usha Rao,54,F,0
296,276,Ramesh Naik,44,M,0
297,277,Suresh Swamy,25,M,0
298,278,Lakshmi Swamy,31,F,0
299,279,Naresh Rao,24,M,0
300,280,Asha Naik,33,F,0
301,281,Vinitha Shetty,7,F,0
302,282,Ramesh Bhat,29,M,0
303,283,Naresh Pillai,35,M,0
304,284,Pushpa Bhat,46,F,0
305,285,Harish Shetty,35,M,0
306,286,Geetha Patil,50,F,0
307,287,Kavitha Raju,53,F,0
308,288,Mamatha Murthy,45,F,0
309,289,Shivaraj Raju,26,M,0
310,290,Kavitha Sharma,39,F,0
311,291,Naveen Nair,32,M,0
312,292,Rekha Naik,59,F,0
313,293,Dinesh Swamy,37,M,0
314,294,Venkatesh Raju,33,M,0
315,295,Kavitha Naik,65,F,0
316,296,Prakash Raju,41,M,0
317,297,Shobha Bhat,64,F,0
318,298,Kavitha Raju,51,F,0
319,299,Meena Raju,39,F,0
320,300,Rekha Naik,29,F,0
321,301,Asha Sharma,35,F,0
322,302,Santosh Pillai,31,M,0
323,303,Prakash Bhat,53,M,0
324,303,Harish Murthy,21,M,0
325,304,Mamatha Shetty,43,F,0
326,305,Mamatha Naik,23,F,0
327,306,Meena Hegde,54,F,0
328,307,Meena Shetty,42,F,0
329,308,Manjunath Naik,55,M,0
330,309,Rajesh Patil,42,M,0
331,310,Praveen Shetty,27,M,0
332,311,Vinitha Pillai,36,F,0
333,312,Basavaraj Reddy,28,M,0
334,312,Kavitha Rao,24,F,0
335,313,Anitha Patil,41,F,0
336,314,Venkatesh Bhat,5,M,0
337,315,Basavaraj Pillai,20,M,0
338,316,Srinivas Hegde,34,M,0
339,316,Harish Reddy,19,M,0
340,317,Ganesh Kumar,38,M,0
341,318,Ganesh Gowda,29,M,0
342,319,Asha Naik,41,F,0
343,320,Kavitha Patil,47,F,0
344,321,Kumar Swamy,22,M,0
345,322,Lakshmi Patil,24,F,0
346,323,Rekha Bhat,9,F,0
347,324,Shivaraj Rao,28,M,0
348,324,Harish Patil,5,M,0
349,325,Basavaraj Naik,27,M,0
350,326,Mamatha Murthy,30,F,0
351,327,Asha Patil,23,F,0
352,328,Santosh Murthy,32,M,0
353,329,Rekha Naik,22,F,0
354,330,Lakshmi Rao,23,F,0
355,331,Usha Nair,52,F,0
356,332,Praveen Naik,20,M,0
357,333,Rekha Pillai,38,F,0
358,334,Basavaraj Kumar,33,M,0
359,335,Praveen Nair,37,M,0
360,336,Kavitha Murthy,18,F,0
361,337,Suma Kumar,37,F,0
362,337,Mamatha Pillai,44,F,0
363,338,Mamatha Sharma,5,F,0
364,339,Vinitha Swamy,22,F,0
365,340,Kumar Gowda,20,M,0
366,341,Lakshmi Rao,16,F,0
367,342,Savitha Nair,17,F,0
368,343,Girish Bhat,55,M,0
369,344,Rekha Sharma,30,F,0
370,345,Meena Shetty,14,F,0
371,346,Ravi Pillai,32,M,0
372,347,Suresh Bhat,42,M,0
373,348,Vinitha Rao,29,F,0
374,349,Shobha Sharma,35,F,0
375,350,Ravi Patil,25,M,0
376,351,Naresh Shetty,33,M,1
377,352,Suresh Reddy,29,M,0
378,353,Shivaraj Murthy,38,M,0
379,354,Basavaraj Gowda,24,M,0
380,355,Ramesh Rao,43,M,0
381,356,Praveen Nair,36,M,0
382,357,Prakash Reddy,31,M,0
383,357,Geetha Gowda,33,F,0
384,358,Savitha Kumar,12,F,0
385,359,Asha Pillai,46,F,0
386,360,Kavitha Murthy,34,F,0
387,361,Geetha Sharma,33,F,0
388,362,Manjunath Shetty,41,M,0
389,363,Rekha Murthy,32,F,0
390,363,Shobha Hegde,61,F,0
391,364,Pushpa Sharma,27,F,0
392,365,Manjunath Swamy,26,M,1
393,366,Ganesh Murthy,49,M,0
394,367,Rekha Rao,36,F,0
395,368,Lakshmi Shetty,44,F,0
396,369,Mamatha Kumar,28,F,0
397,370,Ganesh Raju,23,T,0
398,371,Srinivas Pillai,59,M,0
399,372,Kavitha Sharma,29,F,0
400,373,Kavitha Patil,39,F,0
401,374,Harish Pillai,47,M,0
402,375,Ganesh Raju,21,M,0
403,376,Girish Sharma,32,M,0
404,377,Dinesh Reddy,22,M,0
405,377,Venkatesh Hegde,47,M,0
406,378,Ravi Swamy,18,M,0
407,379,Mamatha Bhat,77,F,0
408,380,Ganesh Swamy,40,M,0
409,381,Kavitha Shetty,42,F,0
410,382,Girish Pillai,21,M,0
411,383,Anitha Reddy,35,F,0
412,384,Basavaraj Shetty,25,M,0
413,384,Srinivas Sharma,11,M,0
414,385,Naveen Naik,46,M,0
415,386,Rajesh Kumar,32,M,0
416,387,Suma Sharma,8,F,0
417,388,Shobha Raju,71,F,0
418,389,Mamatha Shetty,18,F,0
419,390,Dinesh Patil,35,M,0
420,391,Harish Patil,30,M,0
421,392,Pushpa Swamy,18,F,0
422,393,Usha Patil,33,F,0
423,393,Pushpa Patil,10,F,0
424,394,Kumar Reddy,43,M,0
425,395,Ganesh Swamy,24,M,0
426,396,Meena Patil,18,F,0
427,397,Ravi Hegde,42,M,0
428,398,Vinitha Bhat,34,F,0
429,398,Rekha Gowda,43,F,0
430,399,Harish Murthy,5,M,0
431,400,Shivaraj Naik,34,M,0
432,401,Suma Nair,18,F,0
433,402,Suma Shetty,18,F,0
434,403,Pushpa Sharma,78,F,0
435,404,Kavitha Pillai,34,F,0
436,405,Naresh Bhat,42,M,0
437,406,Rekha Hegde,41,F,1
438,407,Geetha Swamy,30,F,0
439,408,Basavaraj Pillai,28,M,0
440,409,Naresh Reddy,42,M,0
441,410,Anitha Rao,34,F,0
442,411,Suresh Rao,42,M,0
443,412,Asha Murthy,13,F,0
444,413,Pushpa Naik,39,F,0
445,414,Geetha Swamy,34,F,0
446,414,Shivaraj Shetty,42,M,0
447,415,Shivaraj Sharma,19,M,0
448,416,Ravi Hegde,25,M,0
449,417,Prakash Patil,32,M,0
450,417,Asha Reddy,39,F,0
451,418,Vinitha Kumar,35,F,0
452,419,Suma Kumar,38,F,0
453,420,Lakshmi Swamy,5,F,0
454,421,Shobha Bhat,22,F,0
455,422,Naveen Swamy,18,M,0
456,423,Geetha Raju,32,F,0
457,424,Harish Hegde,56,M,0
458,425,Meena Nair,59,F,0
459,426,Prakash Hegde,24,M,0
460,427,Mahesh Pillai,27,M,0
461,428,Meena Shetty,18,F,0
462,429,Ramesh Swamy,53,M,0
463,430,Rekha Hegde,27,F,0
464,431,Shobha Reddy,42,F,0
465,432,Shobha Rao,44,F,0
466,433,Srinivas Naik,26,M,0
467,434,Venkatesh Naik,24,M,0
468,434,Mahesh Pillai,39,M,0
469,435,Lakshmi Gowda,37,F,1
470,436,Dinesh Naik,44,M,0
471,437,Asha Kumar,17,F,0
472,438,Dinesh Shetty,47,M,0
473,439,Ramesh Naik,32,M,0
474,440,Harish Kumar,24,M,0
475,441,Srinivas Sharma,17,M,0
476,442,Mahesh Naik,22,M,0
477,443,Kumar Sharma,18,M,0
478,444,Manjunath Bhat,40,M,0
479,444,Srinivas Sharma,40,M,0
480,445,Savitha Shetty,47,F,0
481,446,Manjunath Pillai,41,M,0
482,447,Geetha Shetty,36,F,0
483,448,Anitha Reddy,43,F,0
484,449,Basavaraj Naik,40,M,0
485,450,Savitha Rao,77,F,0
486,451,Asha Naik,30,F,0
487,452,Usha Rao,28,F,0
488,453,Kumar Nair,25,M,0
489,453,Ravi Murthy,40,M,0
490,454,Suma Sharma,49,F,0
491,454,Lakshmi Murthy,48,F,0
492,455,Basavaraj Murthy,18,M,0
493,456,Naveen Patil,27,M,0
494,457,Girish Bhat,28,M,0
495,458,Girish Patil,49,M,0
496,459,Prakash Shetty,29,M,0
497,460,Ravi Shetty,49,M,0
498,461,Ravi Gowda,48,M,0
499,462,Ramesh Murthy,36,M,0
500,463,Harish Patil,20,M,1
501,464,Kavitha Pillai,27,F,0
502,465,Harish Swamy,50,M,0
503,466,Kumar Pillai,31,T,0
504,467,Meena Raju,25,F,0
505,468,Suma Raju,66,F,0
506,469,Shobha Rao,42,F,0
507,469,Rekha Naik,45,F,0
508,470,Vinitha Kumar,18,F,0
509,471,Savitha Gowda,28,F,0
510,472,Ganesh Hegde,5,M,0
511,473,Usha Shetty,42,F,1
512,474,Meena Murthy,46,F,0
513,475,Ramesh Shetty,33,M,0
514,475,Naveen Shetty,53,M,0
515,476,Santosh Gowda,40,M,0
516,477,Dinesh Patil,33,M,0
517,478,Praveen Naik,53,M,0
518,479,Shivaraj Kumar,29,M,0
519,480,Kumar Hegde,32,M,0
520,481,Shivaraj Shetty,33,M,0
521,482,Rekha Reddy,49,F,1
522,483,Usha Swamy,42,F,0
523,484,Savitha Sharma,43,F,0
524,485,Vinitha Kumar,5,F,0
525,486,Kumar Rao,24,M,0
526,487,Basavaraj Murthy,18,M,0
527,488,Srinivas Rao,58,M,0
528,489,Kavitha Kumar,17,F,0
529,490,Shivaraj Reddy,24,M,0
530,491,Vinitha Reddy,67,F,0
531,492,Meena Rao,32,F,0
532,493,Kumar Naik,74,M,0
533,494,Prakash Sharma,24,M,0
534,495,Usha Kumar,18,F,0
535,496,Asha Sharma,53,F,0
536,497,Rajesh Sharma,40,M,0
537,498,Meena Hegde,29,F,0
538,499,Manjunath Sharma,21,M,0
539,500,Basavaraj Naik,47,M,0
540,501,Manjunath Sharma,30,M,0
541,502,Basavaraj Hegde,41,M,0
542,503,Ramesh Sharma,28,M,0
543,503,Shobha Swamy,29,F,0
544,504,Srinivas Pillai,42,M,0
545,505,Venkatesh Rao,66,M,0
546,506,Asha Murthy,50,F,0
547,507,Geetha Kumar,40,F,0
548,507,Kavitha Pillai,11,F,0
549,508,Manjunath Reddy,52,M,0
550,509,Ganesh Bhat,18,M,0
551,510,Mahesh Pillai,30,M,0
552,511,Srinivas Hegde,33,M,0
553,512,Girish Rao,46,M,0
554,513,Suma Patil,41,F,1
555,514,Suma Swamy,55,F,0
556,515,Mamatha Swamy,39,F,0
557,516,Naveen Sharma,31,M,0
558,517,Vinitha Shetty,30,F,0
559,518,Geetha Shetty,42,F,0
560,519,Asha Sharma,37,F,0
561,520,Ravi Nair,26,M,0
562,521,Prakash Pillai,58,M,0
563,522,Shivaraj Kumar,41,M,0
564,522,Savitha Gowda,31,F,0
565,523,Girish Raju,24,M,0
566,524,Dinesh Swamy,43,M,0
567,524,Mahesh Sharma,21,M,0
568,525,Vinitha Rao,30,F,0
569,526,Ramesh Patil,44,M,0
570,527,Ravi Hegde,18,M,0
571,528,Harish Raju,27,M,0
572,529,Mahesh Hegde,18,M,0
573,530,Suresh Patil,20,M,0
574,531,Naveen Bhat,34,M,0
575,532,Mamatha Shetty,39,F,0
576,533,Mahesh Murthy,35,M,0
577,534,Geetha Raju,5,F,0
578,535,Ramesh Gowda,46,M,0
579,536,Asha Patil,5,F,0
580,536,Vinitha Pillai,25,F,0
581,537,Shobha Pillai,20,F,0
582,538,Kumar Murthy,21,M,0
583,539,Harish Raju,38,M,0
584,540,Praveen Murthy,57,M,0
585,541,Kavitha Pillai,48,F,0
586,542,Prakash Hegde,66,M,0
587,543,Lakshmi Patil,30,F,0
588,543,Kavitha Raju,5,F,0
589,544,Meena Naik,11,F,0
590,545,Usha Murthy,32,F,0
591,546,Lakshmi Reddy,44,F,0
592,547,Anitha Sharma,44,F,0
593,548,Pushpa Bhat,8,F,1
594,549,Suresh Patil,40,M,0
595,550,Meena Gowda,46,F,0
596,551,Savitha Shetty,67,F,0
597,552,Usha Shetty,44,F,0
598,552,Dinesh Nair,19,M,0
599,553,Naresh Gowda,18,M,0
600,554,Dinesh Hegde,33,M,0
601,555,Ravi Sharma,22,M,0
602,555,Rajesh Pillai,60,M,0
603,556,Basavaraj Shetty,44,M,0
604,557,Geetha Hegde,42,F,0
605,558,Geetha Patil,20,F,0
606,559,Mahesh Shetty,31,M,0
607,560,Rajesh Reddy,29,M,0
608,561,Geetha Pillai,27,F,0
609,562,Harish Hegde,64,M,0
610,563,Mamatha Murthy,25,F,0
611,564,Prakash Reddy,5,M,0
612,565,Geetha Sharma,5,F,0
613,566,Pushpa Naik,47,F,0
614,567,Prakash Rao,28,M,0
615,568,Naresh Sharma,40,M,0
616,569,Naveen Naik,18,M,0
617,570,Anitha Naik,42,F,0
618,571,Vinitha Rao,5,F,0
619,572,Suma Bhat,22,F,0
620,573,Suma Sharma,37,F,0
621,574,Santosh Swamy,33,M,0
622,575,Naresh Swamy,18,M,0
623,576,Vinitha Hegde,60,F,0
624,577,Rajesh Shetty,39,M,0
625,578,Prakash Reddy,29,M,0
626,579,Mahesh Bhat,25,M,0
627,579,Srinivas Swamy,14,M,0
628,580,Geetha Patil,50,F,0
629,581,Rajesh Sharma,38,M,0
630,582,Pushpa Hegde,18,F,0
631,583,Geetha Raju,26,F,0
632,583,Usha Bhat,31,F,0
633,584,Ganesh Kumar,53,M,0
634,584,Vinitha Rao,40,F,0
635,585,Shobha Bhat,47,F,0
636,586,Savitha Pillai,35,F,0
637,587,Vinitha Swamy,35,F,0
638,588,Usha Hegde,32,F,0
639,589,Girish Hegde,30,M,0
640,590,Harish Murthy,8,M,0
641,591,Dinesh Sharma,28,M,0
642,592,Mamatha Hegde,37,F,0
643,593,Rekha Murthy,25,F,0
644,594,Anitha Naik,23,F,0
645,595,Ganesh Swamy,54,M,0
646,596,Naresh Shetty,47,M,0
647,596,Suma Patil,43,F,0
648,597,Shobha Raju,11,F,0
649,598,Mamatha Sharma,46,F,0
650,599,Shivaraj Reddy,18,M,0
651,600,Venkatesh Raju,18,M,0
652,601,Vinitha Patil,32,F,0
653,601,Mamatha Murthy,34,F,0
654,602,Srinivas Nair,30,M,0
655,603,Venkatesh Naik,31,M,0
656,604,Vinitha Murthy,45,F,0
657,605,Rekha Murthy,26,F,0
658,606,Pushpa Reddy,19,F,1
659,606,Rekha Shetty,21,F,0
660,607,Pushpa Patil,53,F,1
661,607,Savitha Naik,30,F,0
662,608,Mamatha Shetty,48,F,0
663,609,Mamatha Murthy,28,F,0
664,610,Kavitha Reddy,22,F,0
665,611,Manjunath Nair,35,M,0
666,612,Kumar Murthy,46,M,0
667,612,Usha Kumar,25,F,0
668,613,Kumar Sharma,50,M,0
669,614,Geetha Gowda,39,F,0
670,615,Lakshmi Murthy,27,F,0
671,616,Suma Murthy,51,F,0
672,617,Suresh Kumar,23,M,0
673,618,Shobha Rao,22,F,0
674,619,Suma Kumar,58,F,0
675,619,Rekha Pillai,58,F,0
676,620,Shobha Swamy,45,F,0
677,621,Vinitha Murthy,30,F,0
678,622,Asha Rao,32,F,0
679,623,Santosh Gowda,42,M,0
680,624,Lakshmi Raju,32,F,0
681,625,Basavaraj Raju,26,M,0
682,626,Lakshmi Naik,15,F,0
683,627,Savitha Gowda,37,F,0
684,628,Naveen Hegde,41,M,0
685,629,Savitha Naik,38,F,0
686,629,Rekha Reddy,40,F,0
687,630,Geetha Nair,66,F,0
688,631,Srinivas Naik,34,M,0
689,632,Shobha Sharma,19,F,0
690,633,Meena Bhat,37,F,1
691,634,Prakash Raju,39,M,0
692,635,Rekha Gowda,42,F,0
693,636,Santosh Kumar,27,M,0
694,637,Meena Murthy,33,F,0
695,638,Suma Nair,19,F,0
696,639,Naresh Raju,55,M,0
697,640,Suresh Nair,36,M,0
698,641,Naveen Hegde,43,M,0
699,642,Ganesh Patil,34,M,0
700,643,Ramesh Patil,54,M,0
701,644,Geetha Rao,34,F,0
702,645,Kumar Kumar,79,M,0
703,646,Suma Sharma,5,F,0
704,647,Rekha Rao,18,F,1
705,648,Naveen Shetty,53,M,0
706,649,Srinivas Shetty,38,M,0
707,650,Mamatha Nair,43,F,0
708,651,Anitha Shetty,39,F,0
709,652,Savitha Bhat,46,F,0
710,653,Srinivas Patil,28,M,0
711,654,Kumar Swamy,32,M,0
712,655,Meena Hegde,32,F,0
713,656,Mamatha Naik,41,F,0
714,657,Prakash Gowda,34,M,0
715,658,Anitha Nair,14,F,0
716,659,Shobha Pillai,34,F,0
717,660,Meena Pillai,37,F,0
718,661,Usha Nair,67,F,0
719,662,Girish Rao,39,M,0
720,662,Prakash Gowda,61,M,0
721,663,Srinivas Patil,49,M,0
722,663,Usha Nair,37,F,0
723,664,Mahesh Reddy,61,M,0
724,665,Suresh Shetty,50,M,0
725,666,Praveen Reddy,5,M,0
726,666,Anitha Bhat,33,F,0
727,667,Asha Shetty,46,F,0
728,668,Geetha Patil,40,F,0
729,669,Anitha Reddy,25,F,0
730,669,Harish Nair,17,M,0
731,670,Savitha Swamy,54,F,0
732,671,Srinivas Murthy,8,M,0
