ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
145,145,Usha Patil,29,6,1,3,F
146,146,Geetha Raju,49,9,1,1,F
147,147,Kavitha Swamy,20,4,1,2,M
148,148,Manbir Ahluwalia,18,5,1,1,M
149,149,Usha Murthy,62,1,1,2,M
150,150,Zarna Shetty,26,7,1,3,M
151,151,Zaid Dara,31,7,1,3,F
152,152,Kiaan Shetty,18,6,1,2,M
153,153,Rekha Raju,28,1,1,1,F
154,154,Pushpa Gowda,26,2,1,3,F
155,155,Suma Gowda,47,1,1,1,M
156,156,Kavitha Raju,49,1,1,1,F
157,157,Santosh Swamy,20,8,2,2,M
158,158,Faras Mangal,23,1,1,6,M
159,159,Harish Reddy,37,3,1,2,M
160,160,Faris Devi,30,2,1,1,F
161,161,Suma Pillai,58,4,2,4,F
162,162,Tanish Bhatt,25,8,1,1,F
163,163,Nikita Narayanan,18,10,1,3,F
164,164,Ojasvi Bhatia,54,2,1,5,M
165,165,Mahesh Nair,45,1,1,3,F
166,166,Lajita Sood,18,6,1,3,M
167,167,Indira Misra,28,1,1,6,F
168,168,Mahesh Swamy,30,1,2,3,F
169,169,Vinaya Kanda,43,5,2,1,F
170,170,Rajata Sunder,39,3,1,4,M
171,171,Meena Naik,39,1,2,4,F
172,172,Santosh Shetty,79,7,1,3,F
173,173,Kavitha Kumar,43,1,1,2,F
174,174,Rajesh Kumar,23,3,1,2,M
175,175,Triya Gopal,54,3,1,6,M
176,176,Abha Raghavan,67,1,1,2,M
177,177,Siddharth Sha,18,3,1,6,F
178,178,Geetika Raghavan,18,7,1,8,M
179,179,Oviya Krishnan,36,1,1,2,M
180,180,Manjunath Pillai,63,1,1,9,M
181,181,Inaya Kapur,20,6,1,5,F
182,182,Banjeet Balasubramanian,29,2,1,1,M
183,183,Ryan Bahri,22,2,1,2,M
184,184,William Date,29,2,1,4,M
185,185,Ishwar Kamdar,24,3,2,2,F
186,186,Aahana Pillay,18,1,1,8,M
187,187,Shivaraj Hegde,44,4,2,2,F
188,188,Naveen Sharma,56,6,1,2,M
189,189,Geetha Reddy,34,2,1,2,M
190,190,Faqid Kibe,18,3,1,2,M
191,191,Charvi Dara,24,5,1,5,M
192,192,Idika Walia,34,3,1,2,M
193,193,Kamala Biswas,56,5,1,3,F
194,194,Santosh Murthy,24,2,1,2,M
195,195,Prakash Gowda,28,2,3,1,F
196,196,Suma Gowda,51,1,2,2,M
197,197,Patrick Vig,40,5,1,5,M
198,198,Veda Shroff,38,9,1,3,M
199,199,Ravi Murthy,31,2,2,4,M
200,200,Rekha Sharma,51,3,1,1,M
201,201,Yagnesh Shetty,18,4,1,6,M
202,202,Gayathri Balakrishnan,44,1,2,1,M
203,203,Ekta Gopal,52,4,1,2,F
204,204,Simon Pant,18,2,1,2,F
205,205,Harini Mammen,58,4,1,6,M
206,206,Venkatesh Shetty,34,2,1,2,F
207,207,Frederick Khurana,31,2,1,5,M
208,208,Mamatha Gowda,36,1,1,2,M
209,209,Suma Hegde,22,6,1,2,F
210,210,Mamatha Rao,28,9,1,6,F
211,211,Anitha Raju,31,2,1,4,F
212,212,Naresh Shetty,30,4,1,4,M
213,213,Pavani Narayanan,18,3,1,2,F
214,214,Venkatesh Bhat,52,1,1,6,M
215,215,Srinivas Bhat,21,4,1,2,F
216,216,Asha Swamy,45,3,1,1,M
217,217,Rekha Gowda,35,3,1,1,F
218,218,Meena Sharma,52,4,3,1,F
219,219,Anitha Hegde,56,1,1,3,M
220,220,Praveen Hegde,52,6,1,2,M
221,221,Manjunath Bhat,38,5,1,4,F
222,222,Rekha Pillai,31,4,1,2,M
223,223,Mamatha Raju,36,1,1,1,M
224,224,Usha Hegde,74,4,1,1,M
225,225,Vinitha Hegde,24,1,1,2,F
226,226,Harini Gour,43,3,2,1,F
227,227,Zayyan Sridhar,24,1,1,1,M
228,228,Asha Hegde,34,1,1,1,M
229,229,Ethan Bera,41,2,1,6,F
230,230,Naresh Pillai,47,1,1,1,M
231,231,Yuvraj Dani,29,1,1,2,F
232,232,Savitha Raju,55,1,1,3,F
233,233,Mamatha Hegde,38,4,2,4,F
234,234,Pushti Mody,30,7,1,9,F
235,235,Hardik Johal,45,2,1,2,F
236,236,Aishani Bumb,32,5,2,6,F
237,237,Venkatesh Sharma,18,6,1,3,M
238,238,Naksh Agate,28,4,2,2,M
239,239,Shravya Singhal,57,1,2,2,F
240,240,Suma Raju,56,8,1,4,M
241,241,Barkha Setty,27,1,1,6,M
242,242,Ganesh Raju,25,2,1,5,F
243,243,Girish Shetty,18,5,1,1,M
244,244,Usha Naik,33,1,1,1,F
245,245,Geetha Murthy,32,4,1,4,F
246,246,Geetha Swamy,52,4,1,3,F
247,247,Mahesh Hegde,44,5,2,3,F
248,248,Shivaraj Gowda,27,6,1,4,M
249,249,Srinivas Hegde,28,3,1,1,F
250,250,Savitha Raju,41,6,1,4,F
251,251,Atharv Chand,39,5,2,9,F
252,252,Ansh Luthra,25,3,1,3,M
253,253,Parth Singhal,67,1,1,2,M
254,254,Prakash Murthy,25,1,1,6,F
255,255,Vyanjana Chand,59,1,1,6,M
256,256,Ijaya Rege,28,6,1,3,M
257,257,Meena Shetty,31,1,1,1,M
258,258,Basavaraj Rao,60,3,1,3,F
259,259,Bhavya Rattan,36,7,1,5,M
260,260,Suhani Chakrabarti,50,2,2,5,M
261,261,Zayyan Naik,54,6,1,2,F
262,262,Shobha Rao,25,1,1,1,F
263,263,Vinitha Bhat,54,2,1,2,F
264,264,Usha Naik,49,5,1,2,M
265,265,Rajesh Nair,29,3,1,2,F
266,266,Samar Loke,39,6,3,2,M
267,267,Rekha Shetty,29,1,1,8,M
268,268,Usha Reddy,25,1,1,2,M
269,269,Praveen Reddy,52,6,1,3,M
270,270,Rajesh Kumar,34,5,1,2,F
271,271,Shobha Rao,44,3,1,1,M
272,272,Santosh Nair,59,2,1,5,F
273,273,Rekha Naik,44,3,1,6,M
274,274,Manjunath Gowda,37,6,1,6,M
275,275,Tanmayi Dhillon,67,1,1,4,F
276,276,Rayaan Trivedi,48,2,1,4,M
277,277,Ekaraj Majumdar,57,1,3,2,M
278,278,Lakshmi Swamy,18,9,2,5,M
279,279,Naresh Rao,42,8,1,4,T
280,280,Vrishti Dixit,48,2,1,1,F
281,281,Veda Pai,52,1,1,7,M
282,282,Ramesh Bhat,33,5,1,3,M
283,283,Naresh Pillai,35,1,1,5,F
284,284,Vivaan Roy,61,1,1,2,M
285,285,Eesha Solanki,49,2,1,6,F
286,286,Libni Doshi,50,2,2,9,M
287,287,Kavitha Raju,31,4,2,1,F
288,288,Harish Sarraf,22,6,1,1,M
289,289,Shivaraj Raju,27,4,1,6,F
290,290,Kavitha Sharma,18,2,1,1,F
291,291,Naveen Nair,18,4,2,7,F
292,292,Rekha Naik,75,1,1,8,F
293,293,Lajita Nadig,52,3,1,5,M
294,294,Venkatesh Raju,26,8,1,1,F
295,295,Kavitha Naik,57,1,1,5,F
296,296,Prakash Raju,52,2,1,7,M
297,297,Shobha Bhat,52,5,1,3,M
298,298,Ayush Batra,22,1,1,3,M
299,299,Daksh Memon,35,7,1,6,F
300,300,Kavya Sankar,18,5,1,5,F
301,301,Asha Sharma,22,9,1,2,M
302,302,Pranit Garde,48,9,1,3,F
303,303,Farhan Raja,52,5,1,3,F
304,304,Widisha Dhar,34,2,1,1,M
305,305,Mamatha Naik,18,1,1,2,F
306,306,Aadhya Andra,63,4,1,3,M
307,307,Meena Shetty,44,3,1,9,M
308,308,Manjunath Naik,27,1,1,3,F
309,309,Rajesh Patil,75,2,1,4,M
310,310,Praveen Shetty,38,4,1,8,M
311,311,Vinitha Pillai,63,2,1,6,M
312,312,Basavaraj Reddy,42,2,2,3,F
313,313,Chakrika Bains,40,4,1,2,F
314,314,Anvi Anand,27,1,1,3,F
315,315,Watika Mangat,31,2,1,2,F
316,316,Srinivas Hegde,28,1,1,1,M
317,317,Ganesh Kumar,47,1,1,6,F
318,318,Ganesh Gowda,43,8,1,1,F
319,319,Asha Naik,32,7,1,1,M
320,320,Kavitha Patil,54,5,1,1,M
321,321,Kumar Swamy,19,3,2,3,F
322,322,Kevin Zacharia,34,4,1,2,M
323,323,Rekha Bhat,44,1,1,1,F
324,324,Shivaraj Rao,42,6,2,3,M
325,325,Hamsini Contractor,19,2,1,8,M
326,326,Faqid Dhaliwal,41,3,1,3,F
327,327,Asha Patil,38,1,1,9,F
328,328,Santosh Murthy,52,5,1,6,M
329,329,Rekha Naik,22,4,2,8,F
330,330,Adweta Raj,46,3,1,8,M
331,331,Usha Nair,19,1,1,4,M
332,332,Praveen Naik,42,2,1,2,M
333,333,Dev Shetty,42,8,2,5,F
334,334,Basavaraj Kumar,42,4,1,1,M
335,335,Praveen Nair,60,4,1,1,M
336,336,Waida D’Alia,58,3,1,3,M
337,337,Suma Kumar,18,6,1,2,M
338,338,Lipika Setty,28,2,1,2,F
339,339,Oni Dubey,35,2,1,1,M
340,340,Hardik Suri,18,4,1,4,F
341,341,Ati Bali,24,6,1,1,M
342,342,Savitha Nair,47,1,2,1,M
343,343,Girish Bhat,57,1,1,2,M
344,344,Jhalak Parmer,59,3,1,5,M
345,345,Mitali Majumdar,20,2,1,5,M
346,346,Ravi Pillai,33,1,1,1,F
347,347,Simon Bail,38,3,1,8,M
348,348,Vinitha Rao,35,4,1,5,M
349,349,Shobha Sharma,25,8,1,6,M
350,350,Ravi Patil,33,1,1,4,M
351,351,Naresh Shetty,35,1,1,3,F
352,352,Maanav De,60,6,1,5,M
353,353,Owen Choudhary,18,7,2,7,M
354,354,Basavaraj Gowda,59,1,2,7,M
355,355,Ramesh Rao,51,3,1,9,M
356,356,Owen Lanka,49,9,1,1,F
357,357,Prakash Reddy,20,4,3,2,M
358,358,Savitha Kumar,36,2,1,4,F
359,359,Asha Pillai,37,2,2,2,M
360,360,Kavitha Murthy,38,4,1,1,M
361,361,Geetha Sharma,33,2,1,3,M
362,362,Tara Balasubramanian,46,4,1,2,M
363,363,Rekha Murthy,56,1,1,3,F
364,364,Hritik Swaminathan,48,3,1,2,M
365,365,Manjunath Swamy,39,8,1,2,M
366,366,Ganesh Murthy,34,1,1,2,F
367,367,Rekha Rao,43,2,1,6,M
368,368,Chaitaly Setty,56,10,1,2,F
369,369,Hardik Contractor,42,2,1,2,M
370,370,Qushi Seth,35,1,1,1,F
371,371,Srinivas Pillai,72,2,1,2,M
372,372,Kavitha Sharma,27,6,1,5,F
373,373,Dhriti Sane,28,8,1,3,F
374,374,Harish Pillai,27,1,1,1,M
375,375,Ganesh Raju,31,1,1,1,M
376,376,Girish Sharma,30,2,1,7,M
377,377,Dinesh Reddy,63,2,1,3,F
378,378,Ravi Swamy,20,2,1,7,F
379,379,Mamatha Bhat,37,1,1,2,F
380,380,Charan Mani,63,4,1,1,M
381,381,Indira Chawla,25,1,1,2,M
382,382,Mohammed Subramaniam,29,4,4,5,F
383,383,Hritik Palla,18,1,1,6,M
384,384,Basavaraj Shetty,40,2,1,1,M
385,385,Naveen Naik,47,2,1,1,M
386,386,Ayush Gole,46,2,1,3,F
387,387,Dayamai Nori,39,8,1,1,M
388,388,Abeer Golla,31,6,1,5,F
389,389,Mamatha Shetty,58,3,1,2,M
390,390,Dinesh Patil,47,2,2,1,F
391,391,Harish Patil,45,4,1,4,M
392,392,Harita Dugar,45,2,1,2,M
393,393,Usha Patil,18,3,1,5,M
394,394,Charles Dugal,72,1,1,2,M
395,395,Chandran Bumb,18,9,1,4,M
396,396,Meena Patil,61,1,1,5,M
397,397,Riya Sachdeva,31,3,1,5,M
398,398,Vinitha Bhat,55,1,1,4,F
399,399,Hemani Sani,49,1,1,6,F
400,400,Bhanumati Sur,32,6,1,6,F
401,401,Suma Nair,39,1,1,2,F
402,402,Christopher Amble,53,3,1,4,F
403,403,Pushpa Sharma,25,2,1,4,M
404,404,Kavitha Pillai,35,1,2,2,M
405,405,Naresh Bhat,36,1,1,2,M
406,406,Rekha Hegde,68,5,1,4,M
407,407,Lajita Walia,56,2,1,1,M
408,408,Basavaraj Pillai,30,1,1,6,M
409,409,Naresh Reddy,33,2,1,2,F
410,410,Anitha Rao,39,2,1,1,M
411,411,Dhriti Sanghvi,67,1,2,2,M
412,412,Omisha Mann,33,8,1,5,F
413,413,Nidhi Bail,40,6,1,1,F
414,414,Onveer Sharma,28,6,1,7,M
415,415,Gaurang Sarkar,43,4,1,6,M
416,416,Ravi Hegde,21,5,1,4,F
417,417,Prakash Patil,44,1,1,2,M
418,418,Vinitha Kumar,54,4,1,2,M
419,419,Om Bose,30,7,1,1,M
420,420,Yashvi Hari,18,1,1,1,F
421,421,Shobha Bhat,18,4,1,2,M
422,422,Naveen Swamy,29,1,1,7,M
423,423,Rudra Ghose,32,1,1,2,F
424,424,Harish Hegde,55,6,1,1,M
425,425,Ucchal Sen,18,2,1,2,M
426,426,Prakash Hegde,39,3,1,9,F
427,427,Ekansh Singh,24,1,1,2,F
428,428,Meena Shetty,25,7,1,3,M
429,429,Ramesh Swamy,32,1,1,5,F
430,430,Dayita Shenoy,36,7,1,4,M
431,431,Shobha Reddy,56,2,1,5,F
432,432,Shobha Rao,32,4,1,2,F
433,433,Yashica Rajagopalan,18,2,1,7,M
434,434,Benjamin Sengupta,30,6,1,5,M
435,435,Lakshmi Gowda,46,5,1,6,F
436,436,Dinesh Naik,55,3,1,7,M
437,437,Asha Kumar,33,1,2,1,F
438,438,Balveer Kota,55,5,1,6,M
439,439,Ramesh Naik,39,5,1,4,F
440,440,Harish Kumar,27,3,1,3,M
441,441,Srinivas Sharma,43,4,2,2,M
442,442,Mahesh Naik,59,3,1,7,F
443,443,Kumar Sharma,34,8,4,2,M
444,444,Manjunath Bhat,41,2,2,4,M
445,445,Savitha Shetty,79,1,1,1,M
446,446,Inaya Mukherjee,42,2,2,5,M
447,447,Geetha Shetty,18,9,2,2,M
448,448,Krisha Narasimhan,46,5,2,2,M
449,449,Girik Sampath,37,1,1,2,F
450,450,Savitha Rao,23,4,2,7,M
451,451,Pranit Kala,18,2,1,8,M
452,452,Usha Rao,28,2,1,2,M
453,453,Laksh Dubey,55,1,1,6,F
454,454,Suma Sharma,40,3,1,2,M
455,455,Basavaraj Murthy,41,2,1,3,M
456,456,Mitesh Gaba,50,8,1,5,F
457,457,Girish Bhat,61,1,1,2,M
458,458,Girish Patil,47,5,1,1,M
459,459,Sachi Mane,30,8,1,5,M
460,460,Vivaan Walla,37,4,2,2,M
461,461,Ravi Gowda,34,1,1,3,F
462,462,Jhalak Sastry,53,2,1,1,M
463,463,Baghyawati Raja,36,1,1,2,M
464,464,Kavitha Pillai,32,8,1,1,M
465,465,Zashil Ben,28,1,1,5,F
466,466,Kumar Pillai,18,4,1,1,F
467,467,Meena Raju,39,4,1,2,M
468,468,Suma Raju,42,5,1,3,F
469,469,Shobha Rao,50,3,1,3,M
470,470,Vinitha Kumar,50,5,1,3,M
471,471,Oeshi Bera,54,2,1,3,F
472,472,Yadavi Prakash,29,2,2,1,F
473,473,Usha Shetty,23,2,1,10,F
474,474,Meena Murthy,20,1,1,3,F
475,475,Hardik Nayak,58,2,1,2,M
476,476,Santosh Gowda,36,2,1,2,F
477,477,Urmi Dewan,25,4,1,4,M
478,478,Praveen Naik,19,1,1,5,M
479,479,Anirudh Kunda,39,2,1,2,F
480,480,Kumar Hegde,50,2,1,2,M
481,481,Indrajit Mani,47,1,1,3,F
482,482,Rekha Reddy,36,1,1,1,F
483,483,William Saini,23,2,2,1,F
484,484,Dev Choudhry,34,1,1,2,F
485,485,Vinitha Kumar,47,3,1,4,F
486,486,Kumar Rao,32,2,1,1,F
487,487,Basavaraj Murthy,50,8,1,9,F
488,488,Srinivas Rao,28,1,1,2,M
489,489,Kavitha Kumar,59,2,1,1,F
490,490,Shivaraj Reddy,43,6,1,3,M
491,491,Vinitha Reddy,38,5,1,3,F
492,492,Meena Rao,18,2,1,2,M
493,493,Kumar Naik,62,2,1,1,M
494,494,Prakash Sharma,53,4,1,3,M
495,495,Indira Nigam,44,3,1,2,F
496,496,Ucchal Srinivas,38,1,1,3,M
497,497,Rajesh Sharma,20,2,1,6,M
498,498,Meena Hegde,33,1,1,3,M
499,499,Manjunath Sharma,23,2,1,2,M
500,500,Basavaraj Naik,22,4,1,1,M
501,501,Urvashi Kulkarni,29,10,1,2,F
502,502,Rayaan Mangal,49,4,3,2,M
503,503,Ramesh Sharma,40,6,1,3,M
504,504,Srinivas Pillai,50,2,1,2,M
505,505,Mugdha Sarraf,58,8,1,2,F
506,506,Harinakshi Grover,62,7,2,6,M
507,507,Widisha Pillai,37,1,1,2,M
508,508,Manjunath Reddy,49,1,1,4,F
509,509,Ganesh Bhat,47,3,2,2,M
510,510,Mahesh Pillai,29,1,1,5,F
511,511,Falak Merchant,51,1,1,5,M
512,512,Girish Rao,24,3,1,2,M
513,513,Suma Patil,51,5,1,1,M
514,514,Brijesh Pandit,40,8,1,2,F
515,515,Mamatha Swamy,38,1,1,6,M
516,516,Naveen Sharma,30,7,1,5,M
517,517,Azaan Dhar,39,6,1,2,M
518,518,Bakhshi Date,32,7,1,8,F
519,519,Asha Sharma,62,4,1,3,M
520,520,Ravi Nair,34,2,2,3,M
521,521,Prakash Pillai,22,1,1,3,F
522,522,Shivaraj Kumar,51,5,1,2,M
523,523,Girish Raju,43,4,1,2,T
524,524,Dinesh Swamy,28,4,2,1,F
525,525,Atharv Grewal,52,1,1,6,M
526,526,Ramesh Patil,18,2,2,3,M
527,527,Ravi Hegde,58,4,2,2,M
528,528,Tanish Mangal,35,5,1,4,F
529,529,Mahesh Hegde,18,1,1,3,M
530,530,Suresh Patil,24,5,1,2,F
531,531,Naveen Bhat,22,7,1,2,F
532,532,Idika Bhattacharyya,50,4,1,1,F
533,533,Mahesh Murthy,39,1,1,2,F
534,534,Geetha Raju,54,8,2,1,M
535,535,Jairaj Iyer,33,4,2,7,M
536,536,Asha Patil,55,1,1,6,F
537,537,Shobha Pillai,55,4,2,2,F
538,538,Kai Chadha,48,2,1,2,F
539,539,Harish Raju,22,5,4,5,F
540,540,Praveen Murthy,37,4,1,3,F
541,541,Kavitha Pillai,44,1,1,8,M
542,542,Shivani Shukla,44,9,1,5,M
543,543,Kabir Gopal,39,5,1,2,F
544,544,Meena Naik,41,2,1,5,M
545,545,Jeet Vasa,51,3,1,3,F
546,546,Lakshmi Reddy,24,5,1,7,F
547,547,Anitha Sharma,40,2,1,1,M
548,548,Pushpa Bhat,64,2,2,1,F
549,549,Suresh Patil,18,1,1,2,M
550,550,Meena Gowda,37,3,1,2,F
551,551,Yadavi Ganguly,48,1,2,3,M
552,552,Usha Shetty,56,4,1,1,M
553,553,Ayush Bumb,46,3,1,2,M
554,554,Dinesh Hegde,47,1,1,10,T
555,555,Azaan Tank,22,3,1,2,M
556,556,Chasmum Subramanian,30,8,2,2,M
557,557,Geetha Hegde,46,2,1,2,F
558,558,Elijah Bhasin,42,3,1,2,M
559,559,Mahesh Shetty,18,5,1,2,F
560,560,Ucchal Jani,50,7,2,6,F
561,561,Maanas Munshi,52,3,1,1,M
562,562,Harish Hegde,37,1,1,4,F
563,563,Mamatha Murthy,18,1,1,7,M
564,564,Prakash Reddy,25,2,1,2,M
565,565,Geetha Sharma,72,2,1,1,M
566,566,Pushpa Naik,35,6,1,3,M
567,567,Prakash Rao,24,2,1,1,F
568,568,Naresh Sharma,18,4,1,5,F
569,569,Naveen Naik,39,2,1,7,M
570,570,Anitha Naik,50,3,1,6,M
571,571,Wishi Morar,35,4,1,6,F
572,572,Arin Chana,47,8,1,2,M
573,573,Suma Sharma,53,1,1,6,M
574,574,Tanveer Pandit,23,6,1,1,M
575,575,Chandresh Manda,39,5,1,2,M
576,576,Upma Mangal,39,7,1,5,M
577,577,Hritik Sankar,70,3,4,4,F
578,578,Prakash Reddy,24,1,1,2,F
579,579,Mahesh Bhat,44,6,1,6,M
580,580,Charan Hayer,18,1,1,2,M
581,581,Bhavya Borah,54,8,1,2,F
582,582,Pushpa Hegde,51,3,2,6,M
583,583,Jagat Dave,32,3,1,1,M
584,584,Ganesh Kumar,18,7,1,3,M
585,585,Shobha Bhat,18,9,1,2,F
586,586,Yashodhara Ratti,65,1,1,2,M
587,587,Vinitha Swamy,46,1,1,4,F
588,588,Usha Hegde,51,3,1,2,F
589,589,Manthan Varma,18,4,1,2,M
590,590,Falak Nagar,38,5,1,10,F
591,591,Maya Mistry,39,1,1,6,F
592,592,Mamatha Hegde,21,2,1,3,M
593,593,Rekha Murthy,44,4,1,3,F
594,594,Anitha Naik,52,4,1,1,M
595,595,Ganesh Swamy,31,1,1,6,M
596,596,Naresh Shetty,18,4,1,2,M
597,597,Shobha Raju,47,5,1,3,F
598,598,Mamatha Sharma,30,7,1,4,M
599,599,Shivaraj Reddy,33,10,1,1,M
600,600,Venkatesh Raju,40,3,1,4,M
601,601,Vinitha Patil,39,2,2,5,M
602,602,Samar Roy,43,9,1,4,M
603,603,Venkatesh Naik,54,3,1,7,M
604,604,Ekta Sridhar,45,7,1,3,M
